"TRS_type","var","x","y025","y050","y","y950","y975","x_norm"
"TAS_direct","elev",-5,0.0132929608188662,0.0158003134712646,0.032696324155802,0.0484493574307065,0.0553822442243286,-1.68168198499078
"TAS_direct","elev",59.04,0.0131559890610755,0.0146621753932825,0.0226650364164793,0.0318439670454344,0.033538733363874,-1.61441470559115
"TAS_direct","elev",123.08,0.0141436790083878,0.0148464816036035,0.0211335482237185,0.0291077833782713,0.0302914755762852,-1.54714742619152
"TAS_direct","elev",187.12,0.0121766847029532,0.012828767590133,0.0180722793748063,0.024221671271333,0.0256751731055582,-1.47988014679189
"TAS_direct","elev",251.16,0.0115187404659871,0.012201973242799,0.0179686757948899,0.0241047694149199,0.0249112320705061,-1.41261286739226
"TAS_direct","elev",315.2,0.0105372099647742,0.0115211747317479,0.0167780388693735,0.0223017954043976,0.0232791759476209,-1.34534558799263
"TAS_direct","elev",379.24,0.00995459363286199,0.0107107764079995,0.0159111267708245,0.0214551905568105,0.0218307905007165,-1.27807830859299
"TAS_direct","elev",443.28,0.00990418521085936,0.0105761701212665,0.0161105688069941,0.0219675226766294,0.0228218138996321,-1.21081102919336
"TAS_direct","elev",507.32,0.0101068906358544,0.0106747523615765,0.0160243074474152,0.0217467648953072,0.0222430154402275,-1.14354374979373
"TAS_direct","elev",571.36,0.00951107153537039,0.0103515787427947,0.0156313737420587,0.0209258736260875,0.0220579641913309,-1.0762764703941
"TAS_direct","elev",635.4,0.00606773328779929,0.00828146813122193,0.0148047000383447,0.0206133095795013,0.0210625724133443,-1.00900919099447
"TAS_direct","elev",699.44,0.0061355433571448,0.00814306896003626,0.0144594390040973,0.0208414999645417,0.0216546816349137,-0.941741911594838
"TAS_direct","elev",763.48,0.00574640098610701,0.00818177040231401,0.0145305984162745,0.0207491034022235,0.0214824353219375,-0.874474632195206
"TAS_direct","elev",827.52,0.00523569803643816,0.00755056762844246,0.0142734909570926,0.0205216741214338,0.0213262087836221,-0.807207352795575
"TAS_direct","elev",891.56,0.00338080379573272,0.00457554410730676,0.0131894687204568,0.0193480055977578,0.0203727537469546,-0.739940073395944
"TAS_direct","elev",955.6,0.00148796386502612,0.00260958842652072,0.00935356572514527,0.0150259705081077,0.0167197057190004,-0.672672793996313
"TAS_direct","elev",1019.64,0.000837724141769824,0.00179904219606874,0.00862850536824087,0.0146444963042442,0.0163152422050495,-0.605405514596681
"TAS_direct","elev",1083.68,-0.000137993795909734,0.000359157239233823,0.00693381766208673,0.0140866356964387,0.0151360249717586,-0.53813823519705
"TAS_direct","elev",1147.72,-0.00140328796832155,-0.00062487934724517,0.00571732466387157,0.0135072895470188,0.0142355999496745,-0.470870955797419
"TAS_direct","elev",1211.76,-0.00140396578831968,-0.000695802590331783,0.0056708938178184,0.0133982817857282,0.0142184283352242,-0.403603676397787
"TAS_direct","elev",1275.8,-0.00214926087436893,-0.00107013680338265,0.00555772088040993,0.0132908050145957,0.0141641706474705,-0.336336396998156
"TAS_direct","elev",1339.84,-0.00212058682823907,-0.00110471722117508,0.00552497117068742,0.0132898540464202,0.0140692407535144,-0.269069117598525
"TAS_direct","elev",1403.88,-0.00212080951757364,-0.00117705374428234,0.00551384474032671,0.0132139316020967,0.0140692407535144,-0.201801838198894
"TAS_direct","elev",1467.92,-0.00253235452814876,-0.0013276164023725,0.00529845024737057,0.0130926033032706,0.0140759912161761,-0.134534558799263
"TAS_direct","elev",1531.96,-0.0032695776158839,-0.00148428453954314,0.00482154558625148,0.0130826356847832,0.0140591997739648,-0.0672672793996315
"TAS_direct","elev",1596,-0.00524207243196433,-0.00427537939331773,0.00392858421606386,0.012933503773704,0.0140591997739648,0
"TAS_direct","elev",1660.04,-0.0078679658722125,-0.00479994638168286,0.00357585544696664,0.0129147550750549,0.0139501590253223,0.0672672793996312
"TAS_direct","elev",1724.08,-0.0078679658722125,-0.00475722264910506,0.00350519304135476,0.0128919443044822,0.0139501590253223,0.134534558799262
"TAS_direct","elev",1788.12,-0.00788964010590552,-0.00471226111365663,0.00350519304135476,0.0128971103846371,0.0139512397156681,0.201801838198894
"TAS_direct","elev",1852.16,-0.00788964010590552,-0.00471226111365663,0.00352825257140122,0.0128971103846371,0.0139701356375095,0.269069117598525
"TAS_direct","elev",1916.2,-0.00786696700065734,-0.00471226111365663,0.00355733969673455,0.0128971103846371,0.0139703195256566,0.336336396998156
"TAS_direct","elev",1980.24,-0.00786696700065734,-0.00471035583596877,0.00355733969673455,0.0128971103846371,0.0139706671014367,0.403603676397787
"TAS_direct","elev",2044.28,-0.00786696700065734,-0.00471035583596877,0.00355733969673455,0.0128971103846371,0.0139706671014367,0.470870955797419
"TAS_direct","elev",2108.32,-0.00786696700065734,-0.00471035583596877,0.00355733969673455,0.0128971103846371,0.0139706671014367,0.53813823519705
"TAS_direct","elev",2172.36,-0.00786696700065734,-0.00471035583596877,0.00356292674275955,0.0128971103846371,0.0139706671014367,0.605405514596681
"TAS_direct","elev",2236.4,-0.00786696700065734,-0.00471035583596877,0.00356292674275955,0.0128971103846371,0.0139706671014367,0.672672793996312
"TAS_direct","elev",2300.44,-0.00786696700065734,-0.00471035583596877,0.00356937607797742,0.0128971103846371,0.0139525113925213,0.739940073395943
"TAS_direct","elev",2364.48,-0.00786696700065734,-0.00471035583596877,0.00361534433706825,0.0128988398164849,0.0139525113925213,0.807207352795575
"TAS_direct","elev",2428.52,-0.00792772970656815,-0.00471035583596877,0.00359774689439478,0.0128988398164849,0.0138517237984412,0.874474632195206
