site_ID,source,overlap,estimate_Ts,year_removed,NEE,FC,TA,TS,TS_more,SWC,SWC_more,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use
DE-Hzd,FLUXNET2025_ICOS2025,,NO,,,,,,,,,,,,,,,,
DE-RuC,FLUXNET2025,,NO,,,,,,,,,,,,,,,,
DE-RuW,FLUXNET2025_ICOS2025,,NO,,,,,,,,,,,,,,,,
DE-SfS,FLUXNET2025,,NO,,,,,,,,,,,,,,,,
FR-Bil,FLUXNET2025_ICOS2025,,NO,,,,,,,,,,,,,,,,
IT-Cp2,FLUXNET2025_ICOS2025,,NO,,,,,,,,,,,,,,,,
IT-TrF,FLUXNET2025_ICOS2025,,NO,,,,,,,,,,,,,,,,
SE-Nor,FLUXNET2025_ICOS2025,,NO,,,,,,,,,,,,,,,,
SE-Svb,FLUXNET2025_ICOS2025,,NO,,,,,,,,,,,,,,,,
UK-AMo,FLUXNET2025_ICOS2025,,NO,,,,,,,,,,,,,,,,
ES-Agu,FLUXNET2025,,NO,,,,,,,,,,,,,,,,
