site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
CZ-Stn,2.694961631,0.179444758,2021,14,11,-0.006089106,0.587101184
DE-Obe,2.170434266,0.533740487,2014,14,13,0.005799555,0.605662939
DE-RuR,2.03001611,0.561801814,2016,14,10,0.015997505,0.064348392
CH-Aws,3.77908697,0.274560667,2020,14,10,0.004811047,0.64569279
ES-LJu,0.609743385,0.233066905,2020,14,12,-0.139222556,0.000307427
FR-FBn,1.394086365,0.35861255,2016,14,18,0.059179546,2.66205063456284e-05
FR-Fon,3.779592261,0.146482614,2024,14,12,0.048267107,9.7713296637572e-05
GF-Guy,5.786206728,0.044740854,2005,14,26,0.044473167,0.002292598
IL-Yat,0.779600525,0.412477109,2005,14,11,-0.019762431,0.082738381
SE-Deg,0.364500349,0.574136527,2020,14,8,0.022282649,0.048388841
IT-SR2,3.25943577,0.361842696,2023,14,16,-0.00450138,0.729605855
CH-Dav,5.678987496,0.080890428,2012,14,13,-0.01716294,0.023786618
DE-Akm,2.840249961,0.3172828,2022,14,6,0.02648399,0.33626762
DE-Hte,1.820053178,0.297855282,2016,14,7,0.094664073,0.008382925
DE-Hzd,4.232993497,0.189273248,2019,14,5,-0.058359917,0.026982316
DE-RuC,1.20393533,0.565942929,2023,14,4,0.007401799,0.798024883
DE-RuW,3.282724059,0.30985688,2019,14,17,0.035104241,0.028882851
DE-SfS,5.017572285,0.10249436,2014,14,18,0.030315472,0.073286202
FR-Bil,1.700732003,0.445380008,2015,14,17,-0.028308297,0.01465488
IT-TrF,2.952490777,0.023826719,2014,14,13,0.051212648,0.000860346
SE-Nor,1.950142196,0.499652511,2015,14,5,-0.056715592,0.040034327
SE-Svb,1.758668872,0.473700583,2023,14,8,-0.018481373,0.264828062
UK-AMo,1.345727675,0.331480279,2007,14,7,0.006591966,0.692719447
CA-Mer,2.184283715,0.189694761,2009,14,10,-0.061002834,5.0118093545461e-06
CA-TPD,3.739788786,0.169287657,2019,14,9,0.029533107,0.061626393
US-BZS,4.642604067,0.063957874,2019,14,10,0.105612655,0.002233183
US-Cwt,5.683410517,0.108011511,2024,14,7,0.015880053,0.670872979
US-Rls,1.10007569,0.319221465,2015,14,10,-0.029806626,0.019585653
US-Rws,0.809345525,0.316224752,2019,14,8,-0.004035387,0.67799082
