site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
DE-RuR,2.072462358,0.545571209,2016,14,10,0.002952215,0.75421468
CH-Aws,3.782274571,0.273426409,2020,14,10,-0.000941212,0.92869992
ES-LJu,0.615032384,0.219320235,2020,14,12,-0.125751618,7.99E-05
FR-FBn,1.396017716,0.355487925,2016,14,18,0.041188906,0.007647109
FR-Fon,3.778296245,0.147215637,2024,14,12,-0.002079413,0.868568019
GF-Guy,5.820200901,0.044077349,2010,14,26,-0.010957709,0.767526823
IL-Yat,0.804806341,0.372398929,2005,14,11,-0.021650595,0.072514786
SE-Deg,0.357655537,0.587595775,2020,14,8,0.009079807,0.401611155
IT-SR2,3.315507859,0.342891419,2023,14,16,0.006536555,0.629821552
CH-Dav,5.146662134,0.171171241,2012,14,13,-0.00012246,0.988562936
DE-Akm,2.840709778,0.317130996,2022,14,6,0.029028531,0.271693746
DE-Hte,1.821392386,0.296734896,2016,14,7,0.077941378,0.034320782
DE-Hzd,4.218885152,0.193278539,2019,14,5,-0.041612464,0.164974387
DE-RuC,1.163487039,0.595780963,2019,14,4,0.018085726,0.387277935
DE-RuW,3.095648603,0.379414637,2017,14,17,0.024414528,0.200032151
DE-SfS,4.727846347,0.149398072,2016,14,18,0.053982037,0.013624652
FR-Bil,1.697845683,0.44743389,2017,14,17,-0.056597758,1.74E-05
SE-Nor,1.960274968,0.494261101,2015,14,5,-0.038806908,0.03987699
SE-Svb,1.755493587,0.46318218,2023,14,8,-0.006688407,0.694345427
UK-AMo,1.286964897,0.392215386,2004,14,7,-0.004446794,0.800526319
CA-Mer,2.102829679,0.249738364,2002,14,10,0.028106991,0.184992743
CA-TPD,3.769145537,0.156283043,2019,14,9,0.010641934,0.542726111
US-BZS,4.411237192,0.091915714,2015,14,10,0.015778028,0.846502534
US-Cwt,5.714793236,0.104851517,2024,14,7,0.010224015,0.802709573
US-Rls,1.125470911,0.286744316,2015,14,10,-0.037670564,0.013012394
US-Rws,0.84118751,0.262334217,2019,14,8,-0.034703052,0.00549017
BR-Ma2,4.243176684,0.212070773,2005,14,26,0.067754062,0.025656178
BR-Sa1,4.512313831,0.101374581,2009,14,26,-0.070945085,0.089908503
CA-ARB,0.6338881,0.4360961,2011,14,8,0.002249188,0.87749645
CA-ARF,0.8638411,0.31461909,2014,14,8,0.060272939,0.03157336
CA-KLP,0.5220497,0.5693176,2018,14,8,-0.01941808,0.36370675
US-BZo,3.1223276,0.13424383,2025,14,8,0.195658696,0.10556914
US-ChR,4.0710143,0.05398754,2011,14,12,0.017261348,0.47626438
US-Rms,1.1705834,0.47789927,2022,14,8,0.021440249,0.23104375
US-SRS,2.1218698,0.08131595,2015,14,7,0.001190304,0.97035593
