site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
DE-RuR,2.069094506,0.547386391,2016,14,10,0.002520928,0.79208907
CH-Aws,3.77523687,0.276202088,2020,14,10,-0.000993057,0.926303571
ES-LJu,0.642382749,0.144569359,2020,14,12,-0.071593727,4.16E-05
FR-FBn,1.38850307,0.358580927,2016,14,18,0.052401048,0.001147715
FR-Fon,3.771292126,0.150467346,2024,14,12,0.005551369,0.666686603
GF-Guy,5.773905956,0.052511931,2019,14,26,-0.013418972,0.202479012
IL-Yat,0.80005642,0.379167306,2005,14,11,-0.025514476,0.042019399
SE-Deg,0.357275688,0.588404294,2020,14,8,0.008740501,0.413158523
IT-SR2,3.31437264,0.343296656,2023,14,16,0.00729863,0.600528924
CH-Dav,5.146485767,0.171247344,2012,14,13,-0.000140749,0.986857583
DE-Akm,2.840435866,0.317214409,2022,14,6,0.028421956,0.282778643
DE-Hte,1.824655152,0.265339997,2016,14,7,0.087775802,0.015093458
DE-Hzd,4.219385293,0.193008725,2019,14,5,-0.042076318,0.160445795
DE-RuC,1.162630187,0.596311765,2019,14,4,0.017424138,0.372147234
DE-RuW,3.106185214,0.375082517,2017,14,17,0.023088246,0.236132913
DE-SfS,4.779296268,0.140646457,2016,14,18,0.035929558,0.134562285
FR-Bil,1.694763414,0.449462539,2017,14,17,-0.0584561,1.54E-05
SE-Nor,1.959757657,0.494552117,2015,14,5,-0.04070003,0.031465189
SE-Svb,1.755073347,0.463390762,2023,14,8,-0.006553768,0.701103248
UK-AMo,1.286935105,0.39247153,2004,14,7,-0.005188879,0.805150316
CA-Mer,2.096471794,0.252171311,2002,14,10,0.029165156,0.071306584
CA-TPD,3.758031136,0.160552435,2019,14,9,0.016787289,0.351367658
US-BZS,4.340925343,0.101661436,2015,14,10,0.012686501,0.85793412
US-Cwt,5.703615443,0.104786773,2024,14,7,0.005873143,0.891047953
US-Rls,1.119569997,0.294711254,2015,14,10,-0.044293967,0.006441481
US-Rws,0.836790832,0.270362004,2019,14,8,-0.026730207,0.053256621
BR-Ma2,4.22892735,0.217161711,2005,14,26,0.062923953,0.040421747
BR-Sa1,4.266849758,0.117313031,2006,14,26,-0.023622886,0.62343291
CA-ARB,0.629017266,0.444545567,2011,14,8,0.002790022,0.732115715
CA-ARF,0.858119165,0.323587633,2014,14,8,0.043146463,0.005814233
CA-KLP,0.516916145,0.577580235,2018,14,8,-0.012597253,0.353148276
US-BZo,3.070745813,0.163519347,2025,14,8,0.063855363,0.219429496
US-ChR,4.120390982,0.066618478,2011,14,12,0.014548866,0.563872146
US-Rms,1.198638699,0.460411084,2022,14,8,0.017173027,0.216565925
US-SRS,2.112080065,0.089675933,2015,14,7,-0.0216378,0.589817379
