site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp
US-Whs,31.7438,-110.0522,1370,OSH,Bsk,320,15.99640701,-28.9958353,44.99224231,17.14865772,7.390926258,0.442867116,15.07800401,0.116940294,0.197097685,0.253273051,0.264389196,7,-0.174206711,0.001068287,0.000804865,0.987828714
US-ICt,68.6063,-149.3041,930,OSH,ET,318,-2.78557041,-71.19916536,68.41359495,-5.46855087,11.9086137,0.850603751,6.804573507,0.100842194,0.17364223,0.738432516,0.546040891,128,-0.090758224,0.498988023,0.007141655,0.926332618
US-ICh,68.6068,-149.2958,940,OSH,ET,318,9.131260073,-51.5939879,60.72524797,-6.722277403,12.73572221,1.186930185,7.387243734,0.099543512,0.172997456,0.690528112,0.538789719,128,-0.003913243,0.832695895,-0.009992579,0.592516474
US-ICs,68.6058,-149.311,920,WET,ET,318,82.01257147,-27.15501714,109.1675886,-6.53046965,12.9340777,1.30793692,8.273893886,0.100842194,0.17364223,0.763480374,0.581711018,128,-0.010007538,0.744162605,0.00857843,0.794641139
US-SRG,31.7894,-110.8277,1291,GRA,Bsk,420,-36.87851754,-226.2165858,189.3380683,18.99026639,7.188866436,0.535970303,11.79684868,0.171173771,0.283310399,0.428213065,0.416332845,25,-0.091833351,1.57E-08,-0.002891043,0.734446619
US-IB2,41.8406,-88.241,226.5,GRA,Dfa,930.25,-205.2316686,-635.2071453,429.9754768,9.059868555,10.91359116,0.988658346,10.13887014,0.310126467,0.48691283,1.234162812,1.096204598,95.87462709,0.008178018,0.565175891,0.026735797,0.074606524
US-Kon,39.0824,-96.5603,417,GRA,Cfa,867,-167.4031012,-686.2682585,518.8651573,12.97245411,10.78846039,1.113310635,11.96747164,0.291339014,0.464675109,1.120332142,0.895653983,55,-0.077028501,0.000323305,-0.02006161,0.173966822
US-MOz,38.7441,-92.2,219.4,DBF,Cfa,986,-351.7837805,-764.2644665,412.480686,13.60136774,10.36737614,1.020989786,9.676229457,0.374392751,0.650998563,2.501680664,1.501456763,45,-0.006025073,0.737359071,0.055228511,4.72E-05
US-NC2,35.803,-76.6685,5,ENF,Cfa,1320,-384.9087588,-1172.554711,787.6459522,16.09107111,7.991469304,0.432484858,10.28083082,0.408015095,0.736809985,4.327428587,1.770790858,134,-0.017785064,0.064677959,0.000944416,0.933248448
US-Bar,44.0646,-71.2881,272,DBF,Dfb,1245.77,-183.1758899,-592.5895303,409.4136405,7.52986439,10.14496199,0.58312373,9.803626716,0.387836521,0.655113031,2.262319668,1.272860499,69.14467397,0.022187658,0.366754356,0.048980918,0.105671984
CA-Oas,53.6289,-106.1978,530,DBF,Dfc,428.53,-129.5741244,-467.1110554,337.536931,1.918898563,12.81362665,0.937533834,8.176846631,0.254007803,0.445859197,1.745652071,0.910214577,85.7424686,-0.007662039,0.646383756,0.002510056,0.850662813
CA-TP4,42.7102,-80.3574,184,ENF,Dfb,1036,-192.6207748,-736.5534224,543.9326476,9.342187458,10.17544123,0.784144302,7.468774826,0.36699535,0.658590351,2.403910765,1.457332049,87.33921272,0.020965454,0.050517987,0.047952525,2.29E-05
CA-TP3,42.7068,-80.3483,184,ENF,Dfb,1036,-547.8418281,-996.825181,448.983353,9.19332656,10.12005276,0.78360179,7.754000587,0.340775012,0.619047329,2.205274761,1.475515873,87.1240342,0.009433826,0.332382265,0.029395276,0.007779306
CA-Man,55.8796,-98.4808,259,ENF,Dfc,520,-2.647120468,-227.2297258,224.5826053,-1.18050736,14.66715171,1.294389055,9.768866138,0.189257877,0.453116642,1.008835988,0.723940764,177.3009249,0.033922385,0.08774886,0.028895586,0.137617153
CA-LP1,55.1119,-122.8414,751,ENF,Dfb,570,-181.7210075,-317.2944729,135.5734654,3.168149451,10.02317773,0.738260629,9.020263575,0.198464359,0.433229477,0.881869438,0.752706148,70.65000153,-0.035464633,0.050060767,0.013498111,0.569942917
CA-Ca1,49.8673,-125.3336,300,ENF,Cfb,1369,-373.7580182,-1083.818877,710.0608591,8.065500196,6.161815897,0.45007738,5.357712276,0.367616227,0.761267813,2.140919438,1.369223569,114.8103363,0.02939538,0.008107449,0.038403709,0.001805515
CA-Gro,48.2167,-82.1556,340,MF,Dfb,831,-113.4663209,-453.8777994,340.4114785,3.579075587,12.38930135,1.060415327,9.19250709,0.291918607,0.565476151,1.717918042,1.019259642,77.94115998,-0.021830743,0.504046009,0.016339819,0.594312035
CA-Obs,53.9872,-105.1178,628.94,ENF,Dfc,405.6,-55.93100155,-316.8042681,260.8732665,1.208714947,12.99762114,1.098797828,8.735291964,0.210746177,0.489060244,1.030377748,0.802898119,115.2532966,-0.019168251,0.324152944,-0.034573633,0.058230624
CA-Ojp,53.9163,-104.692,579,ENF,Dfc,430.5,-38.11573117,-234.6029708,196.4872397,1.422205855,13.13987085,0.967887007,9.271413647,0.220409053,0.49316232,1.126613511,0.771493625,67.24505414,-0.014168931,0.163131576,0.012126706,0.368625664
US-Jo2,32.5849,-106.6032,1469,OSH,Bwk,282.3,-175.5459749,-245.8669089,70.32093403,17.62175015,8.214978581,0.441738431,12.31112416,0.112837485,0.171254279,0.21498891,0.215734894,9,-0.104599935,0.001997538,-0.005705449,0.805755212
US-MtB,32.416,-110.7256,2573,ENF,Csb,790,-509.163275,-742.9229988,233.7597238,9.842771843,6.890193328,0.411235262,5.565165781,0.286181942,0.540026465,1.478628417,0.710326835,5,-0.050094879,0.001298671,-0.024424344,0.118026061
US-LL1,31.2792,-84.5329,165,SAV,Cfa,1310,-203.9650578,-874.3477007,670.3826429,19.41596748,6.815460414,0.63693578,10.01652579,0.370377385,0.699037712,1.878460077,1.563649503,20,-0.006491554,0.490264653,0.01210904,0.143552061
US-BZB,64.6955,-148.3208,100,WET,Dfd,274,25.04507779,-147.606625,172.6517028,-1.539408274,14.93382051,1.591506004,13.04604046,0.173610722,0.360845194,0.643543462,0.669770631,78,0.04631792,0.32007341,0.075349321,0.172798031
US-BZF,64.7013,-148.3121,95,WET,Dfd,274,41.21709943,-154.7445154,195.9616148,-1.183985256,14.8273452,1.564425398,12.0930751,0.195722752,0.389992774,0.851519518,0.752174907,91,-0.035940755,0.600383131,-0.016410093,0.81083682
US-KL2,42.4768,-85.4468,258.3,GRA,Dfa,1027,-263.1196683,-650.348139,387.2284707,9.320215088,10.52969109,0.880711625,10.20397413,0.260549767,0.462824752,1.095055957,1.109078928,29,-0.002164303,0.931360705,0.016782262,0.485606276
US-Ro4,44.6781,-93.0723,274,GRA,Dfa,879,-293.9898576,-568.9146361,274.9247784,7.601755691,11.9786687,1.495797157,11.51007716,0.258736246,0.412654827,1.057472189,0.95768717,87,-0.01696897,0.301213374,-0.013287498,0.351527854
US-KM4,42.4423,-85.3301,246.3,GRA,Dfa,1027,-6.013849094,-527.2991009,521.2852518,9.198884433,10.44266836,0.969532712,10.70435516,0.297590963,0.480400747,1.200179167,1.118328526,370,0.010998726,0.501927269,0.023966963,0.117426704
US-MBP,47.5051,-93.4893,416,WET,Dfb,780,-235.3531787,-301.1511057,65.79792695,4.245124638,12.55251,1.240341758,11.37204774,0.284089004,0.50153169,1.874804349,1.135360107,29,0.006689029,0.850745549,0.028622591,0.403768378
US-Myb,38.0499,-121.765,-4,WET,Csa,338,-345.4191716,-730.62308,385.2039084,15.52827012,5.341119043,0.545486702,10.32626129,0.344865318,0.571750549,1.545986834,1.632380504,29,-0.010970499,0.821069723,0.022012528,0.657049503
US-NC4,35.7879,-75.9038,1,WET,Cfa,1311,44.3801798,-771.2645314,815.6447112,17.03805014,7.827075402,0.64665654,7.710634506,0.355342464,0.712813163,2.150375785,1.945448321,250,0.095875041,0.000124236,0.089410852,0.00058645
US-Tw1,38.1074,-121.6469,-5,WET,Csa,421,-293.5906741,-813.6846906,520.0940165,14.97899791,5.749033788,0.784274591,13.83150879,0.289151882,0.503075661,0.799678856,1.184036319,231,0.00512139,0.924075945,0.013277193,0.843750627
US-Ced,39.8379,-74.3791,58,CSH,Cfa,1138,-81.89364433,-716.8616897,634.9680453,12.02906544,9.123204938,0.711612046,9.751491014,0.345113921,0.696850985,2.277825488,1.573939618,28,0.007720458,0.722508105,0.013647505,0.445498961
US-Oho,41.5545,-83.8438,230,DBF,Dfa,849,-783.1932372,-1156.016379,372.8231422,10.50362975,10.21148895,0.838409997,8.987854462,0.347107241,0.589715782,2.292612784,1.517473154,81.170762,0.016943481,0.121958428,0.039100506,0.004723733
US-Slt,39.9138,-74.596,30,DBF,Dfa,1138,18.42646551,-542.6470432,561.0735087,12.34155473,9.354407665,0.690651922,10.76633312,0.367755213,0.669821001,2.413414359,1.811010277,67.65037873,-0.007620106,0.813461763,0.035782847,0.167697667
US-Wrc,45.8205,-121.9519,371,ENF,Csb,2452,-290.6447683,-488.5045736,197.8598053,9.19377554,7.204713761,0.778607021,8.80484451,0.357653456,0.775579843,2.362630575,1.441205488,100.6444175,0.018239162,0.331618364,0.037325379,0.026078508
AU-Tum,-35.6566,148.1517,1200,EBF,Cfb,1159.01,-666.4303636,-1557.725801,891.2954371,9.53248649,6.151570981,0.896021748,6.046908514,0.345878013,0.748531321,4.145199453,2.483637077,123.3451004,-0.02207937,0.129664257,-0.008283975,0.610976414
BE-Bra,51.3076,4.5198,16,MF,Cfb,750,-166.288564,-749.2666622,582.9780983,10.97053541,6.051532438,0.804565076,6.561212808,0.358924365,0.694204121,2.136142275,1.351740612,79.58034515,0.01723598,0.301472259,0.063891151,0.000154877
BE-Vie,50.3049,5.9981,493,MF,Cfb,1062,-478.5766696,-1021.335334,542.7586639,8.46045321,6.51403277,0.900086419,6.285451708,0.347086027,0.70812739,2.020672443,1.301817589,129.024826,0.001483281,0.874257725,0.030131689,0.004216308
CH-Lae,47.4783,8.3644,689,MF,Cfb,1100,-230.3016917,-775.6492879,545.3475963,8.915765745,7.766882903,1.374109694,6.149768178,0.402360013,0.6917319,2.704207068,1.473129309,79.23197937,0.056037398,7.02E-08,0.058002674,2.13E-08
CZ-BK1,49.5021,18.5369,875,ENF,Dfb,1316,-706.6733244,-1175.156682,468.4833579,7.291310547,7.844266283,1.003470324,5.894623387,0.302740047,0.694963782,1.84740988,1.125236073,235.81073,0.032928944,0.025902233,0.05342783,0.001702631
CZ-wet,49.0247,14.7704,426,WET,Dfb,604,70.61511283,-389.1164304,459.7315432,8.886855229,7.664662047,0.735638213,10.81322534,0.375033785,0.584404436,1.402278635,1.132827546,76.55177307,0.013212247,0.432543276,0.006737828,0.74529744
DE-Gri,50.95,13.5126,385,GRA,Cfb,901,-84.30589712,-629.3600699,545.0541728,8.805153606,7.493733116,0.726677589,10.00271773,0.350130309,0.674273162,2.345711073,1.246221999,89,0.021825979,0.210237781,0.015328397,0.253318183
DE-Hai,51.0792,10.4522,430,DBF,Cfb,720,-504.9540476,-945.6854347,440.7313872,8.575965303,7.524233865,0.865467475,5.644504684,0.377834505,0.684471695,2.145898905,1.146030609,79,-0.033032953,0.00151061,0.001598966,0.84888331
DE-Tha,50.9626,13.5651,385,ENF,Cfb,843,-476.4726062,-882.3073245,405.8347183,9.402551341,7.786198557,0.983414472,6.327494829,0.326846296,0.725934082,2.003417007,1.169481732,79,-0.010826534,0.031370785,0.010533414,0.151750263
DK-Sor,55.4859,11.6446,40,DBF,Cfb,660,-228.2771997,-912.3899291,684.1127294,8.761278262,6.46255963,0.794071683,5.091216518,0.394364844,0.631647917,2.57819245,1.506749902,91.67423248,-0.028739344,1.08E-05,-0.019736597,0.007768897
FI-Hyy,61.8474,24.2948,181,ENF,Dfc,709,-214.3829499,-519.4189779,305.036028,4.800296168,9.113926888,1.143711177,6.323518454,0.244738757,0.505136386,1.943659673,1.074986145,44.4856987,-0.033550306,2.67E-12,-0.012176135,0.013820695
FI-Sod,67.3624,26.6386,180,ENF,Dfc,500,98.69725862,-99.03957884,197.7368375,1.025611555,10.62006747,0.602333311,8.273908543,0.142862776,0.331580344,0.518258003,0.48274721,133.773407,0.005294499,0.691000041,0.005998622,0.740643486
FR-Pue,43.7413,3.5957,270,EBF,Csa,883,-265.3477035,-732.8361426,467.4884391,14.14700288,6.646252906,0.608136711,8.555168644,0.353271042,0.675778764,2.071754447,1.469869503,62,0.016065247,0.383390732,0.015097144,0.239611239
IT-MBo,46.0147,11.0458,1550,GRA,Dfb,1214,-18.35024962,-604.923343,586.5730934,5.534325946,6.858998873,0.607323328,7.021436588,0.295786994,0.428941811,1.19291086,1.062056088,78.88999939,-0.027209574,0.047717713,-0.025425383,0.230322032
IT-Noe,40.6062,8.1517,25,CSH,Csa,588,-144.5370835,-606.3531926,461.8161091,16.58813026,5.492418466,0.821192524,10.46238128,0.277665955,0.625079713,1.202199945,1.781909619,77.93000031,0.054981589,0.002384243,0.056355514,0.003058118
IT-Ren,46.5869,11.4337,1730,ENF,Dfc,809.3,-680.608856,-994.5684411,313.9595851,4.721927376,7.057612986,0.67597391,7.231511816,0.255662627,0.544748507,1.531326709,1.076196603,102.0999985,0.008815194,0.5718139,-0.005636738,0.678470105
IT-SRo,43.7279,10.2844,6,ENF,Csa,920,-383.4559854,-1080.222937,696.7669516,15.30033358,6.470837745,0.42321107,8.698711299,0.310257224,0.684966945,1.937945016,1.646346497,76.83000183,-0.03530853,0.001070875,-0.027381544,0.019318121
NL-Loo,52.1666,5.7436,25,ENF,Cfb,786,-477.5499893,-954.8483328,477.2983435,10.34300169,6.442518982,0.71987773,7.05813553,0.330614882,0.723400637,1.931156061,1.3148559,57.43982315,-0.025331325,0.034442837,0.034592701,0.006609785
RU-Fyo,56.4615,32.9221,265,ENF,Dfb,711,79.80165481,-468.2706558,548.0723106,5.501188621,9.866869421,0.729567956,6.809816949,0.285396238,0.61108608,1.67563701,1.035257592,56.61304092,-0.035660795,0.018911565,-0.04413347,0.042581162
ZA-Kru,-25.0197,31.4969,359,SAV,Bsh,547,24.56452799,-460.0679193,484.6324473,21.90767249,3.22304914,0.620008004,10.9047387,0.270693112,0.456128619,1.013002659,1.229694056,46.12785339,-0.172341341,0.000817539,-0.029389301,0.267234478
IT-Tor,45.8444,7.5781,2160,GRA,Dfc,920,-53.3990208,-378.8807397,325.4817189,3.56659102,6.66248492,0.784092952,7.578815292,0.208387361,0.342706532,0.901416538,0.668415359,85.83999634,-0.060704246,0.022516361,-0.028715165,0.295010506
BE-Dor,50.311876,4.968113,250,GRA,Cfb,581.795,-97.47695411,-959.9526312,862.4756771,10.10352937,6.154928779,0.581677068,8.683038069,0.445718876,0.64723544,1.458163337,1.156422753,83.44987488,0.013769491,0.069613671,0.015402553,0.039579234
CH-Fru,47.115833,8.537778,982,GRA,Dfb,1651,-298.7561419,-912.3578601,613.6017183,8.040394743,7.207652341,0.634855889,7.570932517,0.412596029,0.604985807,1.838815037,1.284101184,82.63198853,0.004339822,0.533523552,0.009804798,0.173823903
CZ-RAJ,49.443724,16.696513,648,ENF,Dfb,681,-383.8099078,-859.1850694,475.3751616,8.30023572,8.578157401,0.662898357,5.839098805,0.270829953,0.629061353,1.631297266,1.123155914,124.493309,0.015903718,0.384261866,0.029587294,0.124254546
CZ-Stn,49.035975,17.9699,564,DBF,Dfb,685,-278.4308721,-821.3693176,542.9384455,8.981183231,8.378014241,0.696085384,5.978236731,0.361638678,0.655961827,2.355919025,1.209672552,84.73412323,-0.011739842,0.300939477,0.001496075,0.910773807
DE-Obe,50.78666,13.72129,743,ENF,Dfb,996,-226.0576898,-858.8589465,632.8012567,6.931686928,7.727484488,0.792809282,5.242184288,0.281580623,0.706213976,1.644797587,1.111574767,89,-0.003526921,0.745950904,0.024396427,0.087094408
DE-RuR,50.6219,6.3041,514.7,GRA,Cfb,1033,-118.1924847,-824.3599101,706.1674254,8.585240935,6.439987981,0.695806874,7.157439461,0.473789227,0.688206331,2.001362852,1.308888839,70,0.007807575,0.413661705,0.018877603,0.11099875
CH-Aws,46.583194,9.790417,1942,GRA,Dfc,918,-343.0896427,-843.3451623,500.2555196,4.736015307,6.407486521,1.247887515,7.590693975,0.162847466,0.351048982,0.873428717,0.77464745,98.25754547,5.73E-05,0.995754998,0.011029618,0.330668736
ES-LJu,36.926594,-2.752115,1613,OSH,Csb,400,-9.391672394,-74.64457368,65.25290129,11.96583513,6.879885067,0.552650551,6.871019162,0.156131754,0.364742,0.37733976,0.559924323,37.08029556,-0.128619043,0.000148378,-0.126256459,0.001165899
