"RMSE","R2"
2.62840286911333,0.284262349572944
2.71126328350658,0.229294504920588
2.66633249051903,0.260828687566671
2.69146590484089,0.242036654948659
2.65356576971749,0.266471519290374
2.65060279851114,0.268165727366165
2.64836282182007,0.270390921775466
2.64655617383286,0.271176293704744
2.64710438897348,0.270663820904652
2.64579593910762,0.271250547914341
2.64503024499386,0.271540846317034
2.64414366102963,0.272744055890998
2.63530924660475,0.276321098452631
2.63454057121697,0.277360421529025
