site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
CH-Aws,3.773992987,0.276539891,2020,14,10,0.008023572,0.438552554
ES-LJu,0.639654483,0.151723449,2020,14,12,-0.041752695,0.011439404
FR-FBn,1.358862799,0.386189881,2016,14,18,0.060228147,3.21E-05
FR-Fon,3.758328717,0.156183822,2024,14,12,0.038644441,0.002260382
GF-Guy,5.816428637,0.045326642,2010,14,26,0.08169625,0.04402223
IL-Yat,0.790264667,0.394025868,2005,14,11,-0.01137996,0.306894465
SE-Deg,0.355511992,0.592475572,2020,14,8,0.017985098,0.087845706
IT-SR2,3.259938792,0.364729608,2023,14,16,-0.00630172,0.739892652
CH-Dav,5.151801276,0.169206731,2012,14,13,-0.002256376,0.794797302
DE-Akm,2.8288896,0.322815696,2022,14,6,0.029097866,0.256090552
DE-Hte,1.8216692,0.2966194,2016,14,7,0.11247739,0.003049137
DE-Hzd,4.231043863,0.188335357,2019,14,5,-0.029275872,0.332956803
DE-RuC,1.157287602,0.599432103,2019,14,4,0.023289086,0.153321838
DE-RuW,3.111760783,0.372705455,2017,14,17,0.030750776,0.111144664
DE-SfS,4.782083773,0.139581336,2016,14,18,0.038750615,0.057652774
FR-Bil,1.676927759,0.460902327,2017,14,17,-0.026541712,0.0097963
SE-Nor,1.9542317,0.4974439,2015,14,5,-0.059954735,0.014254334
SE-Svb,1.742566152,0.471003386,2023,14,8,0.000185668,0.992148665
UK-AMo,1.283864154,0.395242196,2004,14,7,0.008762854,0.595581793
CA-Mer,2.101293385,0.249020681,2002,14,10,0.074059072,5.13E-05
CA-TPD,3.72188768,0.17737269,2019,14,9,0.052377778,0.002820087
US-BZS,4.413325228,0.090653952,2015,14,10,0.06375359,0.431366055
US-Cwt,5.693818758,0.10869612,2024,14,7,0.035157831,0.426684156
US-Rls,1.094272322,0.325750961,2015,14,10,-0.027351814,0.047663394
US-Rws,0.810420907,0.314777333,2019,14,8,-0.003907319,0.696684214
BR-Ma2,4.220317946,0.220484491,2005,14,26,0.082206812,0.009808371
BR-Sa1,4.248131872,0.173963378,2009,14,26,-0.111047421,0.005644589
CA-ARB,0.631481491,0.440224821,2011,14,8,-0.014275676,0.554786296
CA-ARF,0.85329931,0.331235127,2014,14,8,0.041596476,0.289920645
CA-KLP,0.519926931,0.572933517,2018,14,8,-0.026718146,0.224178825
US-BZo,3.12061503,0.135524322,2025,14,8,0.303728832,0.043457733
US-ChR,4.061926857,0.058285294,2011,14,12,0.089842519,0.000836207
US-Rms,1.183591567,0.473759593,2022,14,8,0.029785517,0.123864923
US-SRS,2.077196185,0.119842964,2015,14,7,0.037105183,0.339485327
