,site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
79,BE-Dor,1.822961581,0.62890021,2014,24,8,0.021567498,0.495222478
80,CH-Fru,3.442957899,0.401172139,2011,44,4,0.059582912,0.196169684
81,CZ-RAJ,1.440891507,0.600535482,2019,24,9,0.189001,0.333435331
82,CZ-Stn,2.82752377,0.157536889,2021,45,3,0.012698893,0.837023606
83,DE-Obe,2.114482288,0.558775622,2014,30,6,0.151396931,0.148330462
84,DE-RuR,2.01180599,0.586119763,2016,21,7,0.056626187,0.205512209
85,CH-Aws,3.706085241,0.286163831,2020,19,7,0.072857462,0.291164941
86,ES-LJu,0.559814215,0.2733067,2020,18,10,-0.100031943,0.239226281
87,FR-FBn,1.379225018,0.375461121,2016,19,14,0.169501205,0.087239914
88,FR-Fon,3.786753541,0.143222264,2024,17,10,0.094390782,0.168137554
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
99,DE-SfS,4.803399592,0.137855043,2014,27,9,0.012351824,0.896124934
100,FR-Bil,1.721231224,0.436363225,2015,20,12,0.008748007,0.852308378
101,IT-TrF,2.769189327,0.051459205,2017,29,11,-0.038702603,0.687682901
102,SE-Nor,1.774402539,0.472149787,2015,30,2,-0.068202296,0.160213785
103,SE-Svb,1.458898069,0.668037113,2023,56,2,-0.051776249,0.614333525
104,UK-AMo,1.345453507,0.342260034,2007,19,5,0.027177355,0.528417929
105,CA-Mer,2.174557264,0.196676082,2009,14,10,0.026881869,0.417078127
106,CA-TPD,3.69418071,0.189622785,2019,14,9,0.15696393,0.026104857
107,US-BZS,4.246007271,0.089051158,2019,25,6,0.124271542,0.286102295
108,US-Cwt,5.733361078,0.082609123,2024,17,6,0.158713465,0.444022172
109,US-Rls,1.097374036,0.322605766,2015,14,10,-0.0612225,0.128972262
110,US-Rws,0.803611049,0.32605682,2019,14,8,0.002531936,0.893745714
