0,site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
36,CA-LP1,55.1119,-122.8414,751,ENF,Dfb,570,-181.7210075,-317.2944729,135.5734654,3.168149451,10.02317773,0.738260629,9.020263575,0.198464359,0.433229477,0.881869438,0.752706148,70.65000153,-0.035464633,0.050060767,0.013498111,0.569942917,0.919706917,2.509670067,3.246007252,2.445640945,2.584029198,2.281684971,2.231941795,2.699999714,2.593333101,2.583882761,3.016556835,2.862710762,0.810634077,2.024907472,2.136249891,2.529018293,3.06189068,2.838487321
35,CA-Man,55.8796,-98.4808,259,ENF,Dfc,520,-2.647120468,-227.2297258,224.5826053,-1.18050736,14.66715171,1.294389055,9.768866138,0.189257877,0.453116642,1.008835988,0.723940764,177.3009249,0.033922385,0.08774886,0.028895586,0.137617153,2.04996376,4.766080856,3.174578476,3.754505253,3.350109911,3.20439558,2.815384865,2.918901062,2.304029369,2.954651976,4.253333092,3.807326126,0.710079247,2.32866112,2.256720228,2.27699888,2.908184578,3.139559059
103,CA-Mer,45.4094,-75.5186,70,WET,Dfb,943,-109.5422646,-314.366633,204.8243684,6.147972386,11.61148113,0.700989078,12.51062832,0.271750732,0.481071431,1.180990595,1.071297008,134.5955224,0.092010496,0.001184869,0.131770487,6.27E-08,3.932527542,3.261978149,3.091721535,2.396776533,1.989157486,2.220292854,2.305714226,2.489377594,2.059194374,1.980366373,2.807838774,3.821465302,0.404861974,1.091656695,0.901538539,1.534826563,1.69964725,1.846647324
32,CA-Oas,53.6289,-106.1978,530,DBF,Dfc,428.53,-129.5741244,-467.1110554,337.536931,1.918898563,12.81362665,0.937533834,8.176846631,0.254007803,0.445859197,1.745652071,0.910214577,85.7424686,-0.007662039,0.646383756,0.002510056,0.850662813,1.016630173,4.263516235,3.801391983,3.034065914,3.205421162,2.751648331,2.679487038,3.227692604,2.593113518,3.183956099,2.936776543,3.030622101,0.552265405,1.644108915,1.596597411,5.543109372,6.324367746,6.247471849
39,CA-Obs,53.9872,-105.1178,628.94,ENF,Dfc,405.6,-55.93100155,-316.8042681,260.8732665,1.208714947,12.99762114,1.098797828,8.735291964,0.210746177,0.489060244,1.030377748,0.802898119,115.2532966,-0.019168251,0.324152944,-0.034573633,0.058230624,1.020366287,4.349231339,3.527619171,3.242270994,3.242417622,2.674432278,2.584175491,3.171281815,2.503516388,3.141611719,3.159707069,3.04864502,0.399210584,1.186496277,1.150979534,4.187200843,4.705701813,4.603020233
40,CA-Ojp,53.9163,-104.692,579,ENF,Dfc,430.5,-38.11573117,-234.6029708,196.4872397,1.422205855,13.13987085,0.967887007,9.271413647,0.220409053,0.49316232,1.126613511,0.771493625,67.24505414,-0.014168931,0.163131576,0.012126706,0.368625664,1.10256424,4.277729034,3.51399231,3.160586119,3.269377327,2.678754425,2.654798126,3.058827972,2.420512772,3.145274687,3.141025162,3.068497849,0.630480209,1.864747147,1.793141533,2.913691865,3.561196044,3.47185682
34,CA-TP3,42.7068,-80.3483,184,ENF,Dfb,1036,-547.8418281,-996.825181,448.983353,9.19332656,10.12005276,0.78360179,7.754000587,0.340775012,0.619047329,2.205274761,1.475515873,87.1240342,0.009433826,0.332382265,0.029395276,0.007779306,3.548205185,3.250696087,2.709523916,2.010842466,1.689450455,1.750842667,2.242344284,2.462197495,2.13736248,1.861392212,2.280293083,2.880366421,0.828511578,1.990051445,1.685875361,4.316421031,5.23900067,5.322989188
33,CA-TP4,42.7102,-80.3574,184,ENF,Dfb,1036,-192.6207748,-736.5534224,543.9326476,9.342187458,10.17544123,0.784144302,7.468774826,0.36699535,0.658590351,2.403910765,1.457332049,87.33921272,0.020965454,0.050517987,0.047952525,2.29E-05,3.506959629,3.276996326,2.664468908,2.054578733,1.687179375,1.792454338,2.211648178,2.442710686,2.147838783,1.900512791,2.255604362,2.901465225,0.818967412,1.968416657,1.687152795,5.836073247,6.992770011,7.244544366
104,CA-TPD,42.6353,-80.5577,260,DBF,Dfb,1036,-222.4529966,-691.2521303,468.7991337,10.04734455,10.13946548,1.085348143,7.248821438,0.352956213,0.585328935,2.295309089,1.823614129,82.54545593,0.017455492,0.3370115,0.091572259,7.02E-06,3.444248962,3.236849785,2.746080637,2.030036497,1.691575241,1.803370476,2.281684875,2.486593819,2.221831322,1.924761677,2.279560328,2.896629953,0.751833706,1.819639535,1.640752316,3.982239384,4.285921192,4.410445254
84,CH-Aws,46.583194,9.790417,1942,GRA,Dfc,918,-343.0896427,-843.3451623,500.2555196,4.736015307,6.407486521,1.247887515,7.590693975,0.162847466,0.351048982,0.873428717,0.77464745,98.25754547,5.73E-05,0.995754998,0.011029618,0.330668736,2.7870327,2.693040466,1.976043987,0.332087898,0.998754597,0.947985327,2.261538506,2.301172209,2.184615374,1.654798532,0.989670372,2.572454166,0.7568967,1.368670703,1.29298836,6.900702968,7.694011388,7.694581441
