"","site_ID","RMSE","R2","control_year","window_size","nwindow","TAS","TASp"
"97","DE-RuC",1.21264954707587,0.560419111960766,2023,14,4,0.00891929801360761,0.701680915320884
"98","DE-RuW",3.17957980769312,0.333417942293411,2019,14,17,0.0354743772234615,0.0308302354810961
"99","DE-SfS",4.93762934428441,0.119287065295582,2014,14,18,0.0236468668417256,0.293749810074375
"100","FR-Bil",1.7088079690101,0.439987038848871,2015,14,17,-0.0101550718647489,0.334120379176419
"101","IT-TrF",2.93940311536356,0.0304077225345992,2014,14,13,0.0674600902137841,1.90414088994715e-06
"102","SE-Nor",1.99007357613466,0.478527175269477,2015,14,5,-0.0318848961739161,0.12242189490301
"103","SE-Svb",1.78173709585066,0.459994438413134,2023,14,8,-0.0182543152932286,0.292031282450707
"104","UK-AMo",1.36644720046675,0.310756454040976,2007,14,7,0.00930464786436231,0.521198806183053
"105","CA-Mer",2.18938560032329,0.185665372105986,2009,14,10,-0.0424461022509778,0.000116614819370311
"106","CA-TPD",3.7333659022366,0.172223804159855,2019,14,9,0.043171156740502,0.00504984269304895
"107","US-BZS",4.64542997740254,0.0626548561222919,2019,14,10,0.0861288064050932,0.0171485186952016
"108","US-Cwt",5.715984517862,0.0997922824935995,2024,14,7,0.00113669259062942,0.979027713312385
"109","US-Rls",1.10400826289046,0.314485028382569,2015,14,10,-0.0171261003159791,0.136387403624319
"110","US-Rws",0.810504123310973,0.314254778945008,2019,14,8,-0.00116171022668427,0.89789960198393
