site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
CH-Aws,3.773026562,0.276854671,2020,14,10,0.01804915,0.103808395
ES-LJu,0.61437381,0.220905318,2020,14,12,-0.118429615,0.001408862
FR-FBn,1.376026126,0.373873471,2016,14,18,0.055391458,2.34E-06
FR-Fon,3.770584473,0.150506101,2024,14,12,0.046018996,0.000203887
GF-Guy,5.833587473,0.040370352,2010,14,26,0.213602417,2.85E-06
IL-Yat,0.782106097,0.40631813,2005,14,11,-0.001130781,0.907539073
SE-Deg,0.353932423,0.596237286,2020,14,8,0.021110071,0.049835784
IT-SR2,3.225270355,0.378758801,2023,14,16,0.009564309,0.5763555
CH-Dav,5.213840212,0.148969792,2012,14,13,-0.008093705,0.308818968
DE-Akm,2.810048137,0.331985964,2022,14,6,0.032270746,0.247581399
DE-Hte,1.831013148,0.289304233,2016,14,7,0.110980271,0.001576203
DE-Hzd,4.176805961,0.209108578,2019,14,5,-0.00163047,0.952486501
DE-RuC,1.140198233,0.610380823,2019,14,4,0.016038306,0.372561193
DE-RuW,3.133811953,0.362043914,2017,14,17,0.037291038,0.04333613
DE-SfS,4.770476781,0.136092422,2016,14,18,0.041402378,0.01727862
FR-Bil,1.671250949,0.46441967,2017,14,17,-0.008171012,0.453534839
SE-Nor,1.938912303,0.505459021,2015,14,5,-0.008394372,0.794221144
SE-Svb,1.727616087,0.479778587,2023,14,8,0.005162361,0.815767664
UK-AMo,1.27667033,0.402160305,2004,14,7,0.017997581,0.285085338
CA-Mer,2.102130545,0.250115187,2002,14,10,0.083570398,0.000110796
CA-TPD,3.709641602,0.182767205,2019,14,9,0.080691863,3.67E-05
US-BZS,4.583888232,0.046011966,2015,14,10,0.035254227,0.596121137
US-Cwt,5.698656778,0.106597949,2024,14,7,0.03378141,0.382646964
US-Rls,1.101127271,0.317169239,2015,14,10,-0.008663963,0.423149238
US-Rws,0.810983835,0.313832627,2019,14,8,-0.007736794,0.391555885
BR-Ma2,4.249925936,0.209571602,2005,14,26,0.0940512,0.005247445
BR-Sa1,4.507928151,0.108560652,2009,14,26,-0.130135766,0.004462844
CA-ARB,0.6343103,0.43528162,2011,14,8,-0.008844775,0.683930845
CA-ARF,0.8550482,0.32856732,2014,14,8,0.031714185,0.225881098
CA-KLP,0.5230031,0.56774018,2018,14,8,-0.026990477,0.227260196
US-BZo,3.1330372,0.12740745,2025,14,8,0.370726574,0.013654599
US-ChR,4.0728154,0.05333149,2011,14,12,0.096987677,0.000407721
US-Rms,1.1219771,0.5290543,2022,14,8,0.045507082,0.052360596
US-SRS,2.0805259,0.11742715,2015,14,7,0.015238996,0.569997261
