site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
IT-Ren,2.063771851,0.280721088,2004,14,16,-0.02597274,0.026819012
IT-SRo,2.075870455,0.198760647,2024,14,16,-0.038568975,0.001053451
NL-Loo,2.173332493,0.184175129,2004,14,11,-0.035008339,0.005946409
RU-Fyo,1.687912686,0.352404586,2017,14,7,-0.028395118,0.125743549
ZA-Kru,1.760515516,0.568395385,2008,14,8,-0.06326566,7.36418873464765e-06
IT-Tor,2.756855916,0.076252916,2011,14,8,0.013844949,0.651610593
BE-Dor,1.77311839,0.62915469,2014,14,14,-0.004104424,0.668083192
CH-Fru,3.393572307,0.395076034,2011,14,13,0.009770168,0.17501115
CZ-RAJ,1.614356225,0.494677371,2019,14,15,0.029572556,0.124433865
CZ-Stn,2.70412031,0.179745215,2021,14,11,0.001303495,0.922367065
DE-Obe,2.129184558,0.552660953,2014,14,13,0.024086358,0.091008146
DE-RuR,1.988853261,0.574475726,2016,14,10,0.019391111,0.101922069
CH-Aws,3.764374714,0.280302611,2020,14,10,0.01107463,0.328907101
ES-LJu,0.612108831,0.226564955,2020,14,12,-0.12611282,0.001131762
FR-FBn,1.371472845,0.381045182,2016,14,18,0.0832994,3.00784330705471e-09
FR-Fon,3.763867261,0.154166018,2024,14,12,0.053044991,4.31966487076388e-05
GF-Guy,5.778792172,0.04134318,2005,14,26,0.092777886,3.62254326804056e-07
IL-Yat,0.758565623,0.442704173,2005,14,11,0.000674074,0.948395608
SE-Deg,0.360464042,0.58003339,2020,14,8,0.024550134,0.022928111
IT-SR2,3.226430352,0.383196738,2023,14,16,0.005986011,0.735895473
CH-Dav,5.208521655,0.148969847,2012,14,13,-0.017635545,0.035829295
DE-Akm,2.802868497,0.334906408,2022,14,6,0.040100604,0.165357013
DE-Hte,1.834809026,0.292131412,2016,14,7,0.120044941,0.000711477
DE-Hzd,4.082514148,0.208803245,2019,14,5,-0.017104669,0.623185877
DE-RuC,1.199600823,0.568056918,2023,14,4,0.025613805,0.260884619
DE-RuW,3.136942053,0.34659348,2017,14,17,0.035603367,0.061381219
DE-SfS,4.917431169,0.113310444,2014,14,18,0.00695528,0.719237228
