site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
IT-Noe,1.478910677,0.384148104,2006,14,11,0.058300835,0.001415129
IT-Ren,2.078578583,0.280100676,2004,14,16,-0.028949772,0.012627537
IT-SRo,2.469065597,0.34853269,2002,14,16,-0.014536906,0.141238777
NL-Loo,2.851918623,0.107512841,2012,14,11,-0.024894559,0.072948926
RU-Fyo,2.517089779,0.4777215,2013,14,7,-0.030692483,0.032413047
ZA-Kru,1.833845172,0.53712362,2008,14,8,-0.03671644,0.004796452
IT-Tor,2.670148777,0.112395376,2011,14,8,-0.012148099,0.659434154
BE-Dor,1.863141766,0.603442874,2014,14,14,-0.008104398,0.330944962
CH-Fru,3.472985312,0.384190828,2011,14,13,0.006134389,0.356503906
CZ-RAJ,1.447872792,0.585999392,2019,14,15,0.022067267,0.211881366
CZ-Stn,2.716425423,0.164921888,2021,14,11,-0.0051369,0.64074628
DE-Obe,2.164198282,0.536281187,2014,14,13,-0.001943469,0.853438864
DE-RuR,2.050980696,0.552340926,2016,14,10,0.000391184,0.963776314
CH-Aws,3.778709701,0.274458017,2020,14,10,0.000407758,0.96898751
ES-LJu,0.613728481,0.222389493,2020,14,12,-0.104915687,0.000387987
FR-FBn,1.397679217,0.35344648,2016,14,18,0.071687521,1.84603132481907e-05
FR-Fon,3.787496048,0.14291012,2024,14,12,0.022964808,0.094597383
GF-Guy,5.786059973,0.044770797,2005,14,26,0.058247705,4.40281679532164e-05
IL-Yat,0.788211578,0.398469022,2005,14,11,-0.022458145,0.042011269
SE-Deg,0.363281376,0.576982258,2020,14,8,0.021512732,0.033256503
IT-SR2,3.305765305,0.343225503,2023,14,16,0.013308547,0.309886411
CH-Dav,5.303220125,0.134242346,2012,14,13,-0.019496683,0.050296144
DE-Akm,2.840698962,0.317150317,2022,14,6,0.014808038,0.533958343
DE-Hte,1.827968557,0.291888242,2016,14,7,0.084809584,0.011162391
DE-Hzd,4.220800745,0.194136768,2019,14,5,-0.057067934,0.080943607
DE-RuC,1.212949969,0.561286093,2023,14,4,0.012218104,0.643281702
DE-RuW,3.107080906,0.365906028,2019,14,17,0.027925818,0.163453111
DE-SfS,4.937336842,0.119384516,2014,14,18,0.024147807,0.284259136
FR-Bil,1.708908144,0.439904091,2015,14,17,-0.010120041,0.337826857
IT-TrF,2.933230244,0.032840497,2014,14,13,0.04481159,0.01308681
SE-Nor,1.991870788,0.477512362,2015,14,5,-0.010139628,0.622233135
SE-Svb,1.782240644,0.459693877,2023,14,8,-0.018624903,0.283125892
UK-AMo,1.366616667,0.310587454,2007,14,7,0.009310351,0.520336647
CA-Mer,2.189370327,0.185674037,2009,14,10,-0.042338916,0.000118575
CA-TPD,3.754758709,0.162767959,2019,14,9,0.029816153,0.097296151
US-BZS,4.645392181,0.062687257,2019,14,10,0.086123288,0.016794929
US-Cwt,5.716260482,0.09962414,2024,14,7,0.001676725,0.969052844
US-Rls,1.126909606,0.285601138,2015,14,10,-0.035759469,0.019252241
US-Rws,0.838447116,0.266247986,2019,14,8,-0.031337632,0.027195129
