site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp
US-SRG,31.7894,-110.8277,1291,GRA,Bsk,420,-36.87851754,-226.2165858,189.3380683,18.99026639,7.188866436,0.535970303,11.79684868,0.171173771,0.283310399,0.428213065,0.416332845,25,-0.092550865,6.76E-06,-0.026460158,0.019992798
US-IB2,41.8406,-88.241,226.5,GRA,Dfa,930.25,-205.2316686,-635.2071453,429.9754768,9.059868555,10.91359116,0.988658346,10.13887014,0.310126467,0.48691283,1.234162812,1.096204598,96.77609662,0.005802154,0.535703434,0.018132673,0.064235586
US-Kon,39.0824,-96.5603,417,GRA,Cfa,867,-167.4031012,-686.2682585,518.8651573,12.97245411,10.78846039,1.113310635,11.96747164,0.291339014,0.464675109,1.120332142,0.895653983,55,-0.049499314,0.000630655,-0.013823488,0.164438099
US-MOz,38.7441,-92.2,219.4,DBF,Cfa,986,-351.7837805,-764.2644665,412.480686,13.60136774,10.36737614,1.020989786,9.676229457,0.374392751,0.650998563,2.501680664,1.501456763,45,-0.012925558,0.260579786,0.029913395,6.71E-04
US-NC2,35.803,-76.6685,5,ENF,Cfa,1320,-384.9087588,-1172.554711,787.6459522,16.09107111,7.991469304,0.432484858,10.28083082,0.408015095,0.736809985,4.327428587,1.770790858,134,0.007796542,0.323919118,0.020157874,0.018859121
US-Bar,44.0646,-71.2881,272,DBF,Dfb,1245.77,-183.1758899,-592.5895303,409.4136405,7.52986439,10.14496199,0.58312373,9.803626716,0.387836521,0.655113031,2.262319668,1.272860499,70.41819496,0.012679344,0.366263525,0.025701434,0.131334
CA-Oas,53.6289,-106.1978,530,DBF,Dfc,428.53,-129.5741244,-467.1110554,337.536931,1.918898563,12.81362665,0.937533834,8.176846631,0.254007803,0.445859197,1.745652071,0.910214577,86.78496661,-0.000543688,0.954713904,0.026115458,0.001904738
CA-TP4,42.7102,-80.3574,184,ENF,Dfb,1036,-192.6207748,-736.5534224,543.9326476,9.342187458,10.17544123,0.784144302,7.468774826,0.36699535,0.658590351,2.403910765,1.457332049,88.3594858,0.013518077,0.071811798,0.032011364,5.04E-05
CA-TP3,42.7068,-80.3483,184,ENF,Dfb,1036,-547.8418281,-996.825181,448.983353,9.19332656,10.12005276,0.78360179,7.754000587,0.340775012,0.619047329,2.205274761,1.475515873,88.14730234,0.005045832,0.47652476,0.018932453,1.71E-02
CA-Man,55.8796,-98.4808,259,ENF,Dfc,520,-2.647120468,-227.2297258,224.5826053,-1.18050736,14.66715171,1.294389055,9.768866138,0.189257877,0.453116642,1.008835988,0.723940764,177.0690302,0.002007787,0.870154282,0.00271434,0.823045739
CA-LP1,55.1119,-122.8414,751,ENF,Dfb,570,-181.7210075,-317.2944729,135.5734654,3.168149451,10.02317773,0.738260629,9.020263575,0.198464359,0.433229477,0.881869438,0.752706148,70.65000153,-0.000612748,0.965324899,0.03608997,0.031603727
CA-Ca1,49.8673,-125.3336,300,ENF,Cfb,1369,-373.7580182,-1083.818877,710.0608591,8.065500196,6.161815897,0.45007738,5.357712276,0.367616227,0.761267813,2.140919438,1.369223569,115.4482416,0.0342298,2.11E-05,0.042286304,1.01E-06
CA-Gro,48.2167,-82.1556,340,MF,Dfb,831,-113.4663209,-453.8777994,340.4114785,3.579075587,12.38930135,1.060415327,9.19250709,0.291918607,0.565476151,1.717918042,1.019259642,79.0922436,-0.008785345,5.49E-01,0.006314647,0.646723266
CA-Obs,53.9872,-105.1178,628.94,ENF,Dfc,405.6,-55.93100155,-316.8042681,260.8732665,1.208714947,12.99762114,1.098797828,8.735291964,0.210746177,0.489060244,1.030377748,0.802898119,115.8850364,-0.008435593,0.145312017,-0.012555366,0.022068958
CA-Ojp,53.9163,-104.692,579,ENF,Dfc,430.5,-38.11573117,-234.6029708,196.4872397,1.422205855,13.13987085,0.967887007,9.271413647,0.220409053,0.49316232,1.126613511,0.771493625,68.54501574,0.002751555,0.732858953,0.020591095,0.068591945
US-Jo2,32.5849,-106.6032,1469,OSH,Bwk,282.3,-175.4969401,-245.8559224,70.35898233,17.64012798,8.18672718,0.45789112,12.3220902,0.112837485,0.171254279,0.21498891,0.215734894,9,-0.112268804,0.001997499,9.41E-05,0.996886767
US-MtB,32.416,-110.7256,2573,ENF,Csb,790,-509.163275,-742.9229988,233.7597238,9.842771843,6.890193328,0.411235262,5.565165781,0.286181942,0.540026465,1.478628417,0.710326835,5,-0.007107962,0.581802493,0.009332223,0.476492019
US-LL1,31.2792,-84.5329,165,SAV,Cfa,1310,-203.9650578,-874.3477007,670.3826429,19.41596748,6.815460414,0.63693578,10.01652579,0.370377385,0.699037712,1.878460077,1.563649503,20,-0.005902392,0.485823545,0.011009475,0.140077317
US-BZB,64.6955,-148.3208,100,WET,Dfd,274,25.04507779,-147.606625,172.6517028,-1.539408274,14.93382051,1.591506004,13.04604046,0.173610722,0.360845194,0.643543462,0.669770631,78,0.006856885,0.653092887,0.017273458,0.332086198
US-BZF,64.7013,-148.3121,95,WET,Dfd,274,41.21709943,-154.7445154,195.9616148,-1.183985256,14.8273452,1.564425398,12.0930751,0.195722752,0.389992774,0.851519518,0.752174907,91,-0.00067916,0.980307666,0.003161818,0.909490806
US-KL2,42.4768,-85.4468,258.3,GRA,Dfa,1027,-263.1196683,-650.348139,387.2284707,9.320215088,10.52969109,0.880711625,10.20397413,0.260549767,0.462824752,1.095055957,1.109078928,29,-0.000295696,9.89E-01,0.014204662,4.85E-01
US-Ro4,44.6781,-93.0723,274,GRA,Dfa,879,-293.9898576,-568.9146361,274.9247784,7.601755691,11.9786687,1.495797157,11.51007716,0.258736246,0.412654827,1.057472189,0.95768717,87,-0.017387032,0.24548008,-0.006143794,0.610134402
US-KM4,42.4423,-85.3301,246.3,GRA,Dfa,1027,-6.013849094,-527.2991009,521.2852518,9.198884433,10.44266836,0.969532712,10.70435516,0.297590963,0.480400747,1.200179167,1.118328526,370,0.000353855,0.979500171,0.025216941,0.026284215
US-MBP,47.5051,-93.4893,416,WET,Dfb,780,-235.3531787,-301.1511057,65.79792695,4.245124638,12.55251,1.240341758,11.37204774,0.284089004,0.50153169,1.874804349,1.135360107,29,-0.000896161,9.35E-01,0.011015255,0.307376825
US-Myb,38.0499,-121.765,-4,WET,Csa,338,-345.4191716,-730.62308,385.2039084,15.52827012,5.341119043,0.545486702,10.32626129,0.344865318,0.571750549,1.545986834,1.632380504,29,-0.023958984,0.447263249,-0.014846282,0.552249268
US-NC4,35.7879,-75.9038,1,WET,Cfa,1311,44.3801798,-771.2645314,815.6447112,17.03805014,7.827075402,0.64665654,7.710634506,0.355342464,0.712813163,2.150375785,1.945448321,250,0.04915598,0.001852024,0.057029926,0.001658506
US-Tw1,38.1074,-121.6469,-5,WET,Csa,421,-293.5906741,-813.6846906,520.0940165,14.97899791,5.749033788,0.784274591,13.83150879,0.289151882,0.503075661,0.799678856,1.184036319,231,-0.014514004,0.447781174,-0.014639314,0.511088954
US-Ced,39.8379,-74.3791,58,CSH,Cfa,1138,-81.89364433,-716.8616897,634.9680453,12.02906544,9.123204938,0.711612046,9.751491014,0.345113921,0.696850985,2.277825488,1.573939618,28,-0.006203099,0.675035107,0.000410765,0.97292543
US-Oho,41.5545,-83.8438,230,DBF,Dfa,849,-783.1932372,-1156.016379,372.8231422,10.50362975,10.21148895,0.838409997,8.987854462,0.347107241,0.589715782,2.292612784,1.517473154,82.27689311,0.02235567,0.006059274,0.041081893,2.84E-05
US-Slt,39.9138,-74.596,30,DBF,Dfa,1138,18.42646551,-542.6470432,561.0735087,12.34155473,9.354407665,0.690651922,10.76633312,0.367755213,0.669821001,2.413414359,1.811010277,68.94469867,-0.008088076,0.69580087,0.006339317,0.709066405
US-Wrc,45.8205,-121.9519,371,ENF,Csb,2452,-290.6447683,-488.5045736,197.8598053,9.19377554,7.204713761,0.778607021,8.80484451,0.357653456,0.775579843,2.362630575,1.441205488,101.4794968,-0.002312604,0.883495473,0.036649091,0.01579085
AU-Tum,-35.6566,148.1517,1200,EBF,Cfb,1159.01,-666.4303636,-1557.725801,891.2954371,9.53248649,6.151570981,0.896021748,6.046908514,0.345878013,0.748531321,4.145199453,2.483637077,123.3451004,-0.019249062,0.00536423,-0.019790365,0.013466526
BE-Bra,51.3076,4.5198,16,MF,Cfb,750,-166.288564,-749.2666622,582.9780983,10.97053541,6.051532438,0.804565076,6.561212808,0.358924365,0.694204121,2.136142275,1.351740612,79.58034515,0.00677497,0.454936767,0.031340134,0.000611788
BE-Vie,50.3049,5.9981,493,MF,Cfb,1062,-478.5766696,-1021.335334,542.7586639,8.46045321,6.51403277,0.900086419,6.285451708,0.347086027,0.70812739,2.020672443,1.301817589,129.024826,0.006777197,0.131386315,0.007662241,0.126130827
CH-Lae,47.4783,8.3644,689,MF,Cfb,1100,-230.3016917,-775.6492879,545.3475963,8.915765745,7.766882903,1.374109694,6.149768178,0.402360013,0.6917319,2.704207068,1.473129309,79.23197937,3.86E-02,4.68E-08,0.039261662,2.27E-08
CZ-BK1,49.5021,18.5369,875,ENF,Dfb,1316,-706.6733244,-1175.156682,468.4833579,7.291310547,7.844266283,1.003470324,5.894623387,0.302740047,0.694963782,1.84740988,1.125236073,235.81073,0.007208319,0.452878185,0.009520629,0.393312882
CZ-wet,49.0247,14.7704,426,WET,Dfb,604,70.61511283,-389.1164304,459.7315432,8.886855229,7.664662047,0.735638213,10.81322534,0.375033785,0.584404436,1.402278635,1.132827546,76.55177307,0.034922534,0.012139676,0.02942761,0.045182376
DE-Gri,50.95,13.5126,385,GRA,Cfb,901,-84.30589712,-629.3600699,545.0541728,8.805153606,7.493733116,0.726677589,10.00271773,0.350130309,0.674273162,2.345711073,1.246221999,89,0.00970973,0.448017817,0.018199919,0.065626101
DE-Hai,51.0792,10.4522,430,DBF,Cfb,720,-504.9540476,-945.6854347,440.7313872,8.575965303,7.524233865,0.865467475,5.644504684,0.377834505,0.684471695,2.145898905,1.146030609,79,-0.016066347,0.024990158,0.001413208,0.811887069
DE-Tha,50.9626,13.5651,385,ENF,Cfb,843,-476.4726062,-882.3073245,405.8347183,9.402551341,7.786198557,0.983414472,6.327494829,0.326846296,0.725934082,2.003417007,1.169481732,79,0.004776215,0.23178959,0.022043282,7.28E-05
DK-Sor,55.4859,11.6446,40,DBF,Cfb,660,-228.2771997,-912.3899291,684.1127294,8.761278262,6.46255963,0.794071683,5.091216518,0.394364844,0.631647917,2.57819245,1.506749902,91.67423248,-0.013628731,2.41E-02,-0.010175344,0.101565595
FI-Hyy,61.8474,24.2948,181,ENF,Dfc,709,-214.3829499,-519.4189779,305.036028,4.800296168,9.113926888,1.143711177,6.323518454,0.244738757,0.505136386,1.943659673,1.074986145,44.4856987,-0.006289022,4.78E-02,0.01927261,1.19E-06
FI-Sod,67.3624,26.6386,180,ENF,Dfc,500,98.69725862,-99.03957884,197.7368375,1.025611555,10.62006747,0.602333311,8.273908543,0.142862776,0.331580344,0.518258003,0.48274721,133.773407,0.00351753,6.45E-01,0.004665179,6.46E-01
FR-Pue,43.7413,3.5957,270,EBF,Csa,883,-265.3477035,-732.8361426,467.4884391,14.14700288,6.646252906,0.608136711,8.555168644,0.353271042,0.675778764,2.071754447,1.469869503,62,0.007617127,0.628627237,0.002556153,0.811972446
IT-MBo,46.0147,11.0458,1550,GRA,Dfb,1214,-18.35024962,-604.923343,586.5730934,5.534325946,6.858998873,0.607323328,7.021436588,0.295786994,0.428941811,1.19291086,1.062056088,78.88999939,-0.0154458,0.186344222,-0.011104125,0.507354806
IT-Noe,40.6062,8.1517,25,CSH,Csa,588,-144.5370835,-606.3531926,461.8161091,16.58813026,5.492418466,0.821192524,10.46238128,0.277665955,0.625079713,1.202199945,1.781909619,77.93000031,0.052118841,0.011046493,0.050251427,0.017994888
IT-Ren,46.5869,11.4337,1730,ENF,Dfc,809.3,-680.608856,-994.5684411,313.9595851,4.721927376,7.057612986,0.67597391,7.231511816,0.255662627,0.544748507,1.531326709,1.076196603,102.0999985,-0.00343098,0.731195079,-0.005959689,0.515889026
IT-SRo,43.7279,10.2844,6,ENF,Csa,920,-383.4559854,-1080.222937,696.7669516,15.30033358,6.470837745,0.42321107,8.698711299,0.310257224,0.684966945,1.937945016,1.646346497,76.83000183,-0.007288561,0.614985243,0.023312899,0.083129585
NL-Loo,52.1666,5.7436,25,ENF,Cfb,786,-477.5499893,-954.8483328,477.2983435,10.34300169,6.442518982,0.71987773,7.05813553,0.330614882,0.723400637,1.931156061,1.3148559,57.43982315,-0.016419037,0.024051138,0.017662354,0.020433593
RU-Fyo,56.4615,32.9221,265,ENF,Dfb,711,79.80165481,-468.2706558,548.0723106,5.501188621,9.866869421,0.729567956,6.809816949,0.285396238,0.61108608,1.67563701,1.035257592,56.61304092,0.000489246,0.959667653,0.003432374,0.739289921
ZA-Kru,-25.0197,31.4969,359,SAV,Bsh,547,24.56452799,-460.0679193,484.6324473,21.90767249,3.22304914,0.620008004,10.9047387,0.270693112,0.456128619,1.013002659,1.229694056,46.12785339,-0.163339318,7.51E-04,-0.026335569,2.89E-01
IT-Tor,45.8444,7.5781,2160,GRA,Dfc,920,-53.3990208,-378.8807397,325.4817189,3.56659102,6.66248492,0.784092952,7.578815292,0.208387361,0.342706532,0.901416538,0.668415359,85.83999634,-0.030001956,0.034707887,-0.01010463,0.488393426
BE-Dor,50.311876,4.968113,250,GRA,Cfb,581.795,-97.47695411,-959.9526312,862.4756771,10.10352937,6.154928779,0.581677068,8.683038069,0.445718876,0.64723544,1.458163337,1.156422753,83.44987488,0.012088606,0.068243635,0.013312625,0.040737878
CH-Fru,47.115833,8.537778,982,GRA,Dfb,1651,-298.7561419,-912.3578601,613.6017183,8.040394743,7.207652341,0.634855889,7.570932517,0.412596029,0.604985807,1.838815037,1.284101184,82.63198853,0.011357043,0.0348524,0.01763663,0.000587741
CZ-RAJ,49.443724,16.696513,648,ENF,Dfb,681,-383.8099078,-859.1850694,475.3751616,8.30023572,8.578157401,0.662898357,5.839098805,0.270829953,0.629061353,1.631297266,1.123155914,124.493309,-0.002743385,0.795631002,0.004938757,0.668818018
CZ-Stn,49.035975,17.9699,564,DBF,Dfb,685,-278.4308721,-821.3693176,542.9384455,8.981183231,8.378014241,0.696085384,5.978236731,0.361638678,0.655961827,2.355919025,1.209672552,84.73412323,0.00302991,0.682272482,0.017952697,0.034613599
DE-Obe,50.78666,13.72129,743,ENF,Dfb,996,-226.0576898,-858.8589465,632.8012567,6.931686928,7.727484488,0.792809282,5.242184288,0.281580623,0.706213976,1.644797587,1.111574767,89,0.004446137,0.481129563,0.007839606,0.332915825
DE-RuR,50.6219,6.3041,514.7,GRA,Cfb,1033,-118.1924847,-824.3599101,706.1674254,8.585240935,6.439987981,0.695806874,7.157439461,0.473789227,0.688206331,2.001362852,1.308888839,70,0.008740688,0.261824173,0.016543983,0.036849504
CH-Aws,46.583194,9.790417,1942,GRA,Dfc,918,-343.0896427,-843.3451623,500.2555196,4.736015307,6.407486521,1.247887515,7.590693975,0.162847466,0.351048982,0.873428717,0.77464745,98.25754547,2.28E-02,0.008963795,0.022564858,0.011742271
ES-LJu,36.926594,-2.752115,1613,OSH,Csb,400,-9.391672394,-74.64457368,65.25290129,11.96583513,6.879885067,0.552650551,6.871019162,0.156131754,0.364742,0.37733976,0.559924323,37.08029556,-0.049503126,0.195668082,-0.045007499,0.22558061
FR-FBn,43.24079,5.67865,433,MF,Csa,700,-561.031217,-1048.759881,487.7286638,14.17918059,6.518112649,0.719903847,6.832651808,0.312322154,0.653080885,1.851690379,1.666571775,62,0.036657912,0.0023044,0.054249144,1.17E-07
FR-Fon,48.476358,2.780096,104,DBF,Cfb,720,-591.8595692,-1088.31904,496.4594705,11.78157291,6.489655199,0.782169161,7.500926756,0.407642864,0.668099172,2.54211371,1.720085086,45,0.002853976,0.733537737,0.032960262,7.56E-05
GF-Guy,5.2788,-52.9249,48,EBF,Am,3041,-219.262193,-1774.38231,1555.120117,25.90239118,0.834548469,0.383940333,4.939175364,0.4743174,0.811933862,4.132823189,3.369946767,23.96599197,-0.010519523,0.360637552,0.06171868,5.35E-06
IL-Yat,31.345045,35.051989,652,ENF,Csa,285,-128.6588153,-357.1603216,228.5015064,18.37615502,6.377912335,0.624908652,10.3076309,0.199036791,0.345148009,0.591916179,0.596915955,20.85048294,0.016400952,0.078473374,0.026399509,0.000680666
SE-Deg,64.182,19.5565,270,GRA,Dfc,523,-52.35171376,-113.8946477,61.54293393,2.578362907,9.399473566,0.902916428,8.829492384,0.209691561,0.403204798,0.922377521,0.793380385,81.22222137,0.016711404,0.059127557,0.019617103,0.012595361
IT-SR2,43.732022,10.29091,13,ENF,Csa,920,-222.0094793,-1243.523578,1021.514099,15.80013189,6.137176723,0.396637986,7.80952793,0.363638427,0.779128469,2.535840614,1.819763477,76.83000183,-0.021644266,0.054384885,0.00697333,0.591969443
CH-Dav,46.8153,9.8559,1639,ENF,Dfc,1062,-17.38580856,-558.4503074,541.0644989,4.405167189,7.092082804,0.716998184,7.902961279,0.202076474,0.436143668,0.889368032,0.796840449,94.02565002,-0.013428639,0.03418841,-0.011936915,0.025684366
DE-Akm,53.8662,13.6834,-1,WET,Cfb,558,-46.71887183,-558.9825569,512.263685,10.02900608,6.635480757,0.993876892,7.310357203,0.278787594,0.499805376,1.581386307,1.21551104,244,0.022207513,0.133666718,0.037675254,0.018415661
DE-Hte,54.2103,12.1761,0.2,WET,Dfb,645,-155.7901619,-412.3708217,256.5806597,9.821001477,6.877626866,0.80949768,5.516676301,0.295211128,0.589761018,1.702147167,1.199182387,107,0.047343829,0.042138974,0.069660521,0.002511024
DE-Hzd,50.96381,13.48978,395,DBF,Dfb,877,164.9111751,-444.6880072,609.5991823,9.883968124,7.494185893,1.128187705,7.849682181,0.316207221,0.714139088,1.883350293,1.202530185,79,-0.034249947,0.036779238,-0.039442239,0.034671622
DE-RuC,50.5031,6.336,610,OSH,Cfb,1250,144.4969326,-308.671177,453.1681096,8.394262699,6.642721127,0.627656801,6.559148959,0.283421044,0.751242788,1.763587188,1.227614897,79,0.019808024,0.203370794,0.012796433,0.281852789
DE-RuW,50.5049269,6.33096248,610,ENF,Cfb,1250,-477.3086122,-1018.199051,540.890439,8.503626195,6.620495969,1.147385188,6.033811437,0.283421044,0.751242788,1.640372152,1.244071853,79,0.009961341,0.307817867,0.027022992,0.004240344
DE-SfS,47.80629,11.32757,619,WET,Cfb,1127,-397.6562393,-626.6586283,229.002389,9.188936034,7.496782465,0.828849865,11.21916282,0.260687291,0.588811074,1.414108813,1.217325914,230,0.018153309,0.106577665,0.011496293,0.180334677
FR-Bil,44.493652,-0.956092,39,ENF,Cfb,960.1,-406.9057262,-1040.600523,633.6947969,14.10028563,5.788691702,0.533666979,9.756707911,0.311191159,0.574524938,1.23471419,1.476046817,62,-0.041509457,3.57E-05,-0.005698228,0.504482818
SE-Nor,60.0865,17.479504,58,ENF,Dfb,586,340.2249983,-264.6121591,604.8371574,7.185461238,7.74042637,0.623036401,6.971471379,0.292976502,0.628251314,1.788374987,1.167303817,68.95765686,-0.023846118,0.135910765,-0.002464562,0.913640757
SE-Svb,64.25611,19.7745,267,ENF,Dfc,614,-113.9029404,-440.4116726,326.5087321,3.386623931,8.949932408,0.546643846,6.194548662,0.25498886,0.570681358,1.524929427,0.896430905,61.38302612,-0.005370721,0.505727135,-0.00586834,0.441599124
UK-AMo,55.792545,-3.2436917,268,WET,Cfc,960,-16.62584626,-340.8848984,324.2590522,7.884964506,4.76749738,0.654102741,7.014144079,0.398443313,0.614110666,1.247713668,0.935491585,156.6340027,0.012892924,0.417039605,0.027227862,0.060459978
CA-Mer,45.4094,-75.5186,70,WET,Dfb,943,-109.5422646,-314.366633,204.8243684,6.147972386,11.61148113,0.700989078,12.51062832,0.271750732,0.481071431,1.180990595,1.071297008,134.9580398,0.024375689,1.76E-02,0.038683246,1.18E-05
CA-TPD,42.6353,-80.5577,260,DBF,Dfb,1036,-222.4529966,-691.2521303,468.7991337,10.04734455,10.13946548,1.085348143,7.248821438,0.352956213,0.585328935,2.295309089,1.823614129,82.54545593,0.016950798,0.186684673,0.067703459,3.84E-06
US-BZS,64.6963,-148.3235,100,ENF,Dfd,274,-15.18895276,-215.1602975,199.9713447,-0.908258402,14.96031047,1.330752168,11.81642101,0.173681441,0.361167419,1.132463954,0.843841528,78,-0.004049235,0.834713187,0.001266541,0.949679544
US-Cwt,35.0592,-83.4275,690,DBF,Dfb,1800,-40.58585957,-706.4691213,665.8832618,13.25516817,7.257318772,0.449963366,10.70158266,0.428328993,0.728966439,2.617577958,1.450860096,45,-0.027946375,0.346841869,-0.005637017,0.854663771
US-Rls,43.1439,-116.7356,1608,CSH,Bsh,333,-133.4300568,-343.1519975,209.7219407,8.632196319,9.626796909,0.712063552,8.589709703,0.121030573,0.2430835,0.297088581,0.31716564,16,-0.033396955,0.036537466,-0.014498566,0.167470747
