site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
DE-RuR,2.075962145,0.536653129,2016,14,10,0.007828351,0.412515805
CH-Aws,3.77525782,0.276192163,2020,14,10,-2.30E-05,0.998293577
ES-LJu,0.612350232,0.226013128,2020,14,12,-0.128365501,0.000141253
FR-FBn,1.393220558,0.361200532,2016,14,18,0.064945929,0.000140777
FR-Fon,3.770329757,0.151517053,2024,14,12,0.004500902,0.729026112
GF-Guy,5.769657871,0.043992506,2005,14,26,-0.020628717,0.582082762
IL-Yat,0.781354813,0.409460811,2005,14,11,-0.023218024,0.067921713
SE-Deg,0.364768645,0.569903352,2020,14,8,0.021794424,0.066829173
IT-SR2,3.319455947,0.346377301,2023,14,16,0.006414056,0.651132514
CH-Dav,5.147756984,0.16947445,2012,14,13,-0.020413942,0.045555004
DE-Akm,2.83003972,0.321813127,2022,14,6,0.029392315,0.308035591
DE-Hte,1.823743684,0.300682846,2016,14,7,0.084474012,0.018854539
DE-Hzd,4.10445633,0.200461396,2019,14,5,-0.037547634,0.248694619
DE-RuC,1.20556578,0.564250424,2023,14,4,0.025356177,0.226615472
DE-RuW,3.096550317,0.365625113,2017,14,17,0.022336421,0.246558549
DE-SfS,4.892193752,0.120597406,2014,14,18,0.055551707,0.020408499
FR-Bil,1.704661471,0.450853112,2017,14,17,-0.056734322,6.04E-05
SE-Nor,1.923135183,0.49995279,2015,14,5,-0.032289804,0.228176317
SE-Svb,1.765190983,0.484284173,2023,14,8,-0.023238667,0.180870275
UK-AMo,1.347237792,0.333753991,2007,14,7,0.000737075,0.96556601
CA-Mer,2.187122204,0.189176562,2009,14,10,0.091962735,1.20E-03
CA-TPD,3.766045675,0.160805943,2019,14,9,0.017172142,0.344832051
US-BZS,4.653443291,0.063897767,2019,14,10,0.044920193,0.593574222
US-Cwt,5.674927616,0.090058421,2024,14,7,-0.032747477,0.451557684
US-Rls,1.126154278,0.281254996,2015,14,10,-0.048740812,0.004385619
US-Rws,0.835620355,0.271358889,2019,14,8,-0.034126558,0.018085289
BR-Ma2,4.256626866,0.206532684,2005,14,26,0.023617916,0.400341589
BR-Sa1,4.335306179,0.141230216,2009,14,26,-0.072857523,0.0000972
CL-SDF,1.5227855,0.397812,2015,14,22,0.03886828,0.294709
CL-SDP,0.5299655,0.5911143,2015,14,24,-0.01658747,0.5632431
