"","site_ID","growing_year","window","nobsv","extend_days","alpha","beta","C0","Hs","k2","TS","ERref","lnRatio"
"22313","CH-Dav",2023,"242_263",102,9,0.128073754525,-0.003303937385705,2.0523256935,NA,NA,9.26602234556302,4.13287377718868,-0.333909256915521
"22413","CH-Dav",2024,"242_263",105,9,0.083178332874,-0.005106030960255,2.76433613,NA,NA,7.08692395604802,3.72349039038514,-0.438220746375294
"11047","DE-Akm",2010,"137_158",126,0,0.1543074326,-0.00149432946103,0.641321767,NA,NA,11.3240532241289,3.0103104482011,-0.197019727765557
"2603","DE-Akm",2011,"137_158",103,0,0.13278971745,-0.00125134432649,1.305186673,NA,NA,13.4513725082033,4.85947221933865,0.28186689502631
"3305","DE-Akm",2012,"137_158",132,6,0.07545908235,-0.00159605835398,3.50808983,NA,NA,11.2678603980835,6.61219340214741,0.589852489559405
"4304","DE-Akm",2013,"137_158",114,0,0.1073744591,-0.000880335404738,1.622154821,NA,NA,11.8828089456755,4.80616537288705,0.270836606249859
"5301","DE-Akm",2014,"137_158",127,6,0.181310505,-0.00067326840895,0.468787142,NA,NA,12.8712620557149,3.3343640058903,-0.0947809818451174
"6284","DE-Akm",2015,"137_158",116,0,0.13653424165,-0.00214412992785,1.170172827,NA,NA,11.2944790034519,4.07103134798692,0.104833429662184
"7278","DE-Akm",2016,"137_158",138,0,0.141520997,-0.0015991500350965,1.1631035845,NA,NA,13.8840824010995,4.5773289838977,0.222052696570067
"8269","DE-Akm",2017,"137_158",129,0,0.0906403830556,-0.0048279797191,3.71961601,NA,NA,10.7160868744341,5.30471318372999,0.369532765186851
"9259","DE-Akm",2018,"137_158",125,0,0.12986354705,-0.001863554499372,1.731279356,NA,NA,13.7742840700194,5.57865216151089,0.419884258954317
"10248","DE-Akm",2020,"137_158",104,21,0.15649049895,-0.001127686892675,0.912920104,NA,NA,11.3997060960363,4.34655851617322,0.170321446127233
"11209","DE-Akm",2021,"137_158",131,6,0.115525442485,-0.002454030221725,1.1930975505,NA,NA,11.6930435360608,3.00953264247616,-0.197278141720059
"12206","DE-Akm",2022,"137_158",103,0,0.111353584905,-0.00212379619608,1.472005422,NA,NA,12.1587237237013,3.66585992748349,0
"13175","DE-Akm",2023,"137_158",100,3,0.1600222134,-0.0016368405713,0.947946349,NA,NA,11.5744198696834,4.61369153694451,0.229965363653485
"14168","DE-Akm",2010,"158_179",105,6,0.15939324255,-0.001162865900635,0.644303608,NA,NA,13.226216473315,4.00304351915585,0.00951678290722848
"15157","DE-Akm",2011,"158_179",131,12,0.11235331015,-0.001823747328315,2.25330666,NA,NA,13.5525290903093,6.72296316934485,0.527990836485965
"16137","DE-Akm",2012,"158_179",100,9,0.108661216145,-0.003162009648535,3.818007015,NA,NA,13.1201866007253,8.74423786061361,0.790856784548326
"17128","DE-Akm",2013,"158_179",113,9,0.0828630669,-0.0011388073078005,2.55963958,NA,NA,13.8806112234864,5.96670804624244,0.408657190599636
"18126","DE-Akm",2014,"158_179",139,12,0.1596260982,-0.00110501789482,0.661155679,NA,NA,13.1910466178391,4.14603576595759,0.0446144719148774
"19125","DE-Akm",2015,"158_179",103,3,0.1012549288,-0.0019180283581895,2.229963192,NA,NA,12.0546893463106,5.71793317295808,0.366069238016781
"20125","DE-Akm",2016,"158_179",124,6,0.092067751491,-0.0025077374034,3.387149545,NA,NA,13.9004840718637,6.78252287584405,0.536810969640562
"21150","DE-Akm",2017,"158_179",124,0,0.10188150031,-0.0027495000991,2.56161362,NA,NA,12.5734303424287,5.28525762493412,0.287383195894542
"22132","DE-Akm",2018,"158_179",110,0,0.06599111025895,-0.002175301434885,5.083911105,NA,NA,14.0113119164239,7.817315192496,0.678803001160314
"23122","DE-Akm",2020,"158_179",116,3,0.1548629319,-0.0011715977155135,0.9257519475,NA,NA,13.9040328976055,5.09586503220003,0.250891264192689
"24114","DE-Akm",2021,"158_179",110,15,0.13040650726,-0.0021932232656,1.18948259,NA,NA,14.9171110303872,4.11603787796443,0.0373528518653777
"25102","DE-Akm",2022,"158_179",114,9,0.13813054962,-0.001607264099047,0.9477051735,NA,NA,14.3177537617605,3.96512812546449,0
"2696","DE-Akm",2023,"158_179",116,6,0.12204475205,-0.001148313869005,1.6593526555,NA,NA,14.524906050463,6.35565852658336,0.471807353974083
