"site_ID","Tmin1","Tmin2","Tmin3","Tmin4","Tmin5","Tmin6","Tmin7","Tmin8","Tmin9","Tmin10","Tmin11","Tmin12"
"US-Uaf",2.97142872810364,1.11318678855896,3.57765588760376,2.07347993850708,1.63875453472137,1.79531152248383,2.07875442504883,2.2603663444519,1.97010991573334,1.00820516347885,3.16937637329102,2.38688640594482
"CA-Ca3",1.15413920879364,2.22556777000427,1.97736265659332,2.09201459884644,1.97860813140869,1.93128225803375,1.9080587387085,2.17450561523437,1.90673990249634,1.85230770111084,2.1779486656189,1.86637361049652
"CA-Cbo",3.94783878326416,3.618608045578,3.15824165344238,2.26725273132324,1.88600721359253,1.84974348545074,2.31919403076172,2.61692314147949,2.19142851829529,2.23648357391357,2.27999997138977,3.19575080871582
"US-Ha1",2.85882792472839,2.58336997032166,2.52893776893616,1.92051284313202,1.79120872020721,1.80989022254944,2.04139213562012,2.31369962692261,1.79721610546112,1.43992671966553,2.12739930152893,2.3806592464447
"US-Ha2",2.85882792472839,2.58336997032166,2.52893776893616,1.92051284313202,1.79120872020721,1.80989022254944,2.04139213562012,2.31369962692261,1.79721610546112,1.43992671966553,2.12739930152893,2.3806592464447
"US-Var",1.11772894859314,1.56908414363861,0.887252700328827,0.606666827201843,0.828278338909149,0.856629860401154,1.25934143066406,1.60300419330597,1.6567033290863,1.89318675994873,1.30761919021606,0.798974406719208
"US-Ton",1.11575093269348,1.60798528194427,0.906520128250122,0.598901009559631,0.87025636434555,0.87252744436264,1.2677661895752,1.61472582817078,1.69369962215424,1.86439566612244,1.31941394805908,0.797948741912842
"US-Los",2.40117206573486,4.54102535247803,3.03780212402344,2.0057142496109,2.15509171485901,1.79560418128967,2.2698902130127,2.84395594596863,2.02139201164246,2.44139189720154,1.70468864440918,2.88432230949402
"US-Wkg",0.413772851228714,0.705274748802185,0.0932600274682045,0.203003692626953,0.927545845508575,0.642343640327454,1.00293006896973,1.21677665710449,1.39296677112579,1.6970695734024,0.82168493270874,0.616336977481842
"US-SRM",0.647472536563873,0.923150157928467,0.264981752634048,0.449450677633286,1.08256416320801,0.926373827457428,1.24747276306152,1.54952359199524,1.7206591129303,1.99428594112396,1.02615385055542,0.827765536308289
"US-CMW",0.49516481757164,0.692161178588867,0.137729059159756,0.269304025173187,0.967765772342682,0.735824239253998,0.979340362548828,1.3032968044281,1.53025584220886,1.75875475406647,0.890329551696777,0.6983149766922
"US-Ho1",2.95956058502197,3.17970700263977,3.05040302276611,2.58205132484436,2.06798539161682,2.27662992477417,2.52754611968994,2.52329659461975,1.96813180446625,1.75853471755981,2.10131864547729,2.49626379013062
"US-Ho2",2.9701099395752,3.15304064750671,3.08029308319092,2.58776559829712,2.05963382720947,2.27509140968323,2.53706970214844,2.51684975624084,1.96842474937439,1.78468854427338,2.09750909805298,2.52285709381104
"US-GLE",1.88014633655548,3.30681304931641,2.38879141807556,2.4797803401947,2.73765568733215,2.71194133758545,2.37684965133667,3.09780216217041,2.69289374351501,3.36131868362427,2.49120855331421,2.58527460098267
"US-Me2",1.33347988128662,1.9653480052948,1.66300373077393,1.31267397403717,0.944395565986633,1.31457877159119,1.74732608795166,2.19194145202637,1.9167765378952,1.6544322013855,2.1380952835083,1.68608062267303
"US-NR1",1.7884982585907,3.00615396499634,2.38388285636902,2.32417578697205,2.5538462638855,2.57582411766052,2.19465198516846,2.78673992156982,2.54915747642517,3.15868129730225,2.47501811981201,2.54197793006897
"US-WCr",2.35772938728333,4.25626363754272,2.99531154632568,2.00065934658051,1.9894505739212,1.64908409118652,2.19516448974609,2.7384617805481,2.06959714889526,2.38732600212097,1.80424900054932,2.91626386642456
"US-UMB",3.66600751876831,3.80600733757019,3.22732605934143,2.28102560043335,1.72608065605164,1.68651988506317,2.19531097412109,2.42630019187927,2.09706974029541,2.39985337257385,2.008717918396,3.48153853416443
"US-MMS",2.07956027984619,2.27304034233093,1.79956037998199,0.832820570468903,1.01985354423523,1.56549465656281,2.52761878967285,2.36688642501831,2.04468894004822,1.79238085746765,2.30644693374634,2.03597068786621
"US-PFa",2.40117201805115,4.32520141601563,3.0239559173584,2.01509163379669,2.09098896980286,1.80549454689026,2.27245445251465,2.82556757926941,2.02783913612366,2.49641032218933,1.76666655540466,2.85487146377563
"US-Syv",2.44549512863159,4.15032939910889,2.95531158447266,1.97245416641235,2.06820516586304,1.72146518230438,2.1610258102417,2.5744321346283,1.7479122877121,2.26681323051453,1.68783874511719,2.86717948913574
"US-Whs",0.490842497348785,0.680659306049347,0.0553847479633987,0.207252781093121,0.93450562953949,0.698461222648621,1.01648368835449,1.20300395488739,1.45641038417816,1.71794893741608,0.877142906188965,0.706446886062622
"US-ICt",4.07230787277222,1.4528936624527,3.26791219711304,1.66886479854584,1.47194132804871,1.99333336353302,2.13736276626587,2.32109889984131,2.10446891784668,1.31047623157501,3.4550910949707,2.99406614303589
"US-ICh",4.07230787277222,1.4528936624527,3.26791219711304,1.66886479854584,1.47194132804871,1.99333336353302,2.13736276626587,2.32109889984131,2.10446891784668,1.31047623157501,3.4550910949707,2.99406614303589
"US-ICs",4.07230787277222,1.4528936624527,3.26791219711304,1.66886479854584,1.47194132804871,1.99333336353302,2.13736276626587,2.32109889984131,2.10446891784668,1.31047623157501,3.4550910949707,2.99406614303589
"US-SRG",0.686959743499756,0.926886439323425,0.263370046019554,0.501025694608688,1.10747239589691,0.951354992389679,1.24871788024902,1.57347948551178,1.75684969425201,1.97523813247681,1.04930410385132,0.85040295124054
