site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,warm_rate,warm_ratep,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
US-Ho1,45.2041,-68.7402,60,ENF,Dfb,1070,-299.3573364,-763.3408206,463.9834842,6.617698272,10.38945917,0.611917349,11.83988483,0.038067654,0.005359193,0.386299613,0.741637896,2.287593844,1.276349204,77.08237024,0.024561883,0.06830705,0.046846749,1.21E-04,2.959560585,3.179707003,3.050403023,2.582051325,2.067985392,2.276629925,2.52754612,2.523296595,1.968131804,1.758534718,2.101318645,2.49626379,0.570237485,1.401426521,1.269039486,4.441894167,4.654153923,4.801508489
US-Ho2,45.2091,-68.747,61,ENF,Dfb,1064,-324.2129436,-817.8870015,493.6740579,7.692434645,10.40290921,1.16021967,12.08461371,0.074212857,0.013065432,0.388248776,0.73354611,2.402239198,1.280136583,77.82012514,0.004974976,0.506038254,0.005559752,0.428403497,2.97010994,3.153040648,3.080293083,2.587765598,2.059633827,2.27509141,2.537069702,2.516849756,1.968424749,1.784688544,2.097509098,2.522857094,0.691328997,1.702589699,1.535050012,4.512665825,4.971717483,5.009831027
US-GLE,41.3665,-106.2399,3197,ENF,Dfc,1200,-37.15236346,-298.5128259,261.3604625,0.306559371,9.344537122,0.790596464,6.958887239,0.06006941,0.246992689,0.192594687,0.394892674,0.43781156,0.412233439,34,0.005762112,0.697968336,0.03433815,0.046478027,1.880146337,3.306813049,2.388791418,2.47978034,2.737655687,2.711941338,2.376849651,3.097802162,2.692893744,3.361318684,2.491208553,2.585274601,0.83037461,2.22197697,2.284737191,3.53841389,4.439710087,4.498544906
US-Me2,44.4526,-121.5589,1253,ENF,Csb,523,-346.514257,-807.4574632,460.9432062,8.089205722,7.944652949,0.896802522,7.773785265,0.04236455,0.396330355,0.307782037,0.613216335,1.928813778,1.22255615,61.17514528,-0.001709185,0.901471448,0.002530307,0.849463358,1.333479881,1.965348005,1.663003731,1.312673974,0.944395566,1.314578772,1.747326088,2.191941452,1.916776538,1.654432201,2.138095284,1.686080623,0.983085425,1.627672592,1.603995173,3.984560805,4.513114383,4.500758514
US-NR1,40.0329,-105.5464,3050,ENF,Dfc,800,-195.8977047,-441.8245684,245.9268636,2.43212311,8.792071697,0.546592285,7.415754792,0.029341835,0.087654,0.260572978,0.513702303,1.289488567,0.916444571,41,-0.035833751,0.001005675,0.028033753,0.019457747,1.788498259,3.006153965,2.383882856,2.324175787,2.553846264,2.575824118,2.194651985,2.786739922,2.549157476,3.158681297,2.47501812,2.54197793,0.624693775,1.579361629,1.615831853,2.606565301,3.128720327,2.952708142
US-WCr,45.8059,-90.0799,520,DBF,Dfb,787,-279.4498798,-615.2987181,335.8488382,5.253207019,11.61621686,0.905934512,8.522157173,-0.017672133,0.647530322,0.314963572,0.509575197,1.875118238,1.160576974,133.3623104,0.019419522,0.234647722,0.044980537,0.002766255,2.357729387,4.256263638,2.995311546,2.000659347,1.989450574,1.649084091,2.19516449,2.738461781,2.069597149,2.387326002,1.804249001,2.916263866,0.649610447,1.589356454,1.426869997,4.330825154,4.650308818,4.780966693
US-UMB,45.5598,-84.7138,234,DBF,Dfb,803,-222.0701584,-651.4832643,429.4131059,7.146668061,10.58143848,0.944869919,7.382990387,-0.00800046,0.857886018,0.324729546,0.5162724,2.128865931,1.686181183,80.23832177,0.000624612,0.942427165,0.009332058,0.383545739,3.666007519,3.806007338,3.227326059,2.2810256,1.726080656,1.686519885,2.195310974,2.426300192,2.09706974,2.399853373,2.008717918,3.481538534,0.708329351,1.82995458,1.494393738,5.352402275,5.786242846,5.791646341
US-MMS,39.3232,-86.4131,275,DBF,Cfa,1032,-362.7210847,-767.3374958,404.6164111,12.47997252,9.991221544,0.722759137,7.963661222,0.021318051,0.310978684,0.397461544,0.65872374,2.355353417,1.549824708,35,-0.023867027,0.014001904,-0.007258884,0.343472094,2.07956028,2.273040342,1.79956038,0.83282057,1.019853544,1.565494657,2.52761879,2.366886425,2.04468894,1.792380857,2.306446934,2.035970688,0.655597885,1.237130824,1.271258341,4.628049389,5.094514339,4.94226231
US-PFa,45.9459,-90.2723,470,MF,Dfb,823,5.430551461,-312.7086071,318.1391586,5.756271476,11.52641834,1.240422614,8.678694663,-0.025181727,0.54410217,0.318687833,0.57165196,1.855200534,1.19569368,133.3623104,-0.018355311,0.091456584,0.008661066,0.547349581,2.401172018,4.325201416,3.023955917,2.015091634,2.09098897,1.805494547,2.272454453,2.825567579,2.027839136,2.496410322,1.766666555,2.854871464,1.016172623,2.532447322,2.357541144,5.562308183,6.465809579,6.191979518
US-Syv,46.242,-89.3477,540,MF,Dfb,826,-137.4483863,-554.9977207,417.5493344,4.596079175,11.59540273,0.997032233,8.021765063,0.043742046,0.36830499,0.269013311,0.526037184,1.866489208,1.186385045,136.0914913,-0.012237626,0.569419655,0.012555575,0.544788703,2.445495129,4.150329399,2.955311584,1.972454166,2.068205166,1.721465182,2.16102581,2.574432135,1.747912288,2.266813231,1.687838745,2.867179489,0.695723688,1.659211846,1.500751775,6.142314396,7.124826527,6.995168803
