"site_ID","growing_year","window","nobsv","extend_days","alpha","beta","C0","Hs","k2","TS","ERref","lnRatio"
"CZ-BK1",2010,"91_105",100,33,NA,NA,NA,NA,NA,NA,NA,NA
"CZ-BK1",2011,"91_105",104,12,0.08303472210095,-0.0067912199365,1.6519397543,7.6864601041,0.0957724919707,7.98426388888889,2.09659672455706,-0.0895554535929057
"CZ-BK1",2012,"91_105",113,3,0.05061163121,-0.00367457927887,1.6767015455,10.24126043325,0.06969679547,2.46598333333333,1.75972153973309,-0.264715295892074
"CZ-BK1",2013,"91_105",123,21,0.04173923308951,-0.0065764747045,1.333671484,10.54725100765,0.2690362354455,0.737279166666668,1.84316056022057,-0.218389082523177
"CZ-BK1",2014,"91_105",151,12,0.03652733231809,-0.0067537983485,0.7131059690535,11.90558565065,0.6151857625,6.46403333333333,2.33586166682165,0.0185099688784337
"CZ-BK1",2015,"91_105",139,3,0.03982376801335,-0.0083048359355,1.241701964,9.662703310285,0.12567844314,2.67141388888888,1.32004428798997,-0.552205588820913
"CZ-BK1",2016,"91_105",122,3,0.03138014386225,-0.006694115435,0.721622180835,11.3163894661,0.2921430932,7.73690416666667,1.38111363987237,-0.506980717217692
"CZ-BK1",2017,"91_105",106,3,0.0507988809345,-0.0062259632784,0.806900421703,8.6650854332,0.516462229,6.18895833333333,2.52796202572337,0.0975425783376925
"CZ-BK1",2018,"91_105",122,0,0.0285208978175,-0.0007840106605745,1.9395291935,15.831375991,0.15511792124,9.18551666666667,1.96678515832818,-0.15347056593792
"CZ-BK1",2019,"91_105",102,0,0.01020292711557,-0.00907301894,4.20281108185,6.834021549605,0.45974027632,5.15745416666667,4.00044204767746,0.556533990569355
"CZ-BK1",2020,"91_105",124,9,0.0271229776115,-0.0079159571645,2.0659174415,0.831817356914,0.39372214605,5.24642361111111,3.27774805059418,0.35728574029427
"CZ-BK1",2021,"91_105",135,0,0.049678248585,-0.000805070683175,0.503759592785,7.13984849805,0.5326871935,0.894080555555556,2.87118591211439,0.224854277855919
"CZ-BK1",2022,"91_105",113,3,0.007685714877025,-0.0085017650825,2.13445839,9.8016419983,0.3878222148,2.23483472222222,2.29302263772705,0
"CZ-BK1",2010,"105_119",111,21,0.09857422060945,-0.00629638222,2.420571375,7.54501821415,0.03118630292225,8.07285138888889,3.01859423892156,-0.0952937227096743
"CZ-BK1",2011,"105_119",119,12,0.086077105285,-0.0067401488165,2.1022898785,10.03828751835,0.0583605453808,11.7018111111111,2.39034620858585,-0.328646749322905
"CZ-BK1",2012,"105_119",136,3,0.08335816015,-0.0003398079211731,1.1073556175,10.0021085596,0.01330382440212,7.50386111111111,1.6070732229014,-0.725670311240461
"CZ-BK1",2013,"105_119",115,21,0.0455463577087162,-0.00188512681012451,2.513788907125,7.54217932203125,0.0379208319750062,11.6277083333333,2.70471796003242,-0.205087321223847
"CZ-BK1",2014,"105_119",104,12,0.03020361950395,-0.008417526775,1.102528286121,10.53425551245,0.80443105085,8.04502222222223,3.31881890245651,-0.000475994563019587
"CZ-BK1",2015,"105_119",112,3,0.0306315563564825,-0.00172225936988129,1.910578303375,9.4965521355075,0.06677991006553,7.94846527777778,2.01734047089639,-0.498304916554849
"CZ-BK1",2016,"105_119",104,12,0.0233985407375,-0.007435839199,1.10446059485,12.3192283948,0.32946493105,4.55439861111111,1.70168375419339,-0.668466757384765
"CZ-BK1",2017,"105_119",179,15,0.01621893035385,-0.0071403212635,3.721177005,10.5352607043,0.195683440128,1.16897083333333,2.78139925382117,-0.177130832136642
"CZ-BK1",2018,"105_119",134,15,0.0339189723616125,-0.000906740821215375,2.039259145,14.103842997375,0.0985610915077,12.8562541666667,2.16487928287992,-0.427720360509567
"CZ-BK1",2019,"105_119",113,0,0.01863331631255,-0.000962325296983,4.15452117,11.5763041885,0.0300547036661,8.4863,3.38044772834479,0.0179232028052496
"CZ-BK1",2020,"105_119",106,9,0.0308514056083,-0.00691767277655,2.86025421535,0.663874876019,0.34167915511105,7.425425,4.06845989920421,0.203179562773609
"CZ-BK1",2021,"105_119",104,3,0.023281053509,-0.00700460595645,2.416281455,10.88045600525,0.067650295893,2.76945972222222,1.69668852115078,-0.671406539277634
"CZ-BK1",2022,"105_119",120,12,0.0155930840975275,-0.00126024340067,1.768465324,8.239069703103,0.396259734,4.17932638888889,3.32039901824316,0
"CZ-BK1",2010,"119_133",106,6,0.10267263500845,-0.0064721253333,2.40792921,7.363950603735,0.030635924848585,9.33443333333333,3.01456118610735,-0.506674279570113
"CZ-BK1",2011,"119_133",123,18,0.064183381315,-0.0010689277891575,1.1369584376,1.32082376512205,0.102220305243,8.71309861111111,2.77908764575109,-0.58800586672067
"CZ-BK1",2012,"119_133",113,6,0.07320570195,-0.000710168217825,1.3047224715,9.39038952145,0.0396044748176,14.7224166666667,2.21247313515081,-0.816017600055605
"CZ-BK1",2013,"119_133",109,6,0.0447494487999,-0.00208432246399,2.547252944,7.492473150295,0.04274473100455,11.8457208333333,2.7732660152593,-0.590102863050714
"CZ-BK1",2014,"119_133",131,9,0.02224239814225,-0.0034641664752,1.779501637,10.6059925156,0.580537964,8.35040416666667,3.37915215927579,-0.392503717998868
"CZ-BK1",2015,"119_133",110,6,0.066653584977,-0.003492855979935,1.2787768720225,9.12720412925,0.1329928409795,9.30289166666667,2.18089083939865,-0.830395120321504
"CZ-BK1",2016,"119_133",112,15,0.07163116311,-0.00241910755166,1.505032440005,10.6337668996025,0.09639439437575,9.00156666666667,2.43510485423967,-0.720138738680282
