"var","x","y025","y050","y","y950","y975","x_norm"
"elev",-5,-0.0193473131004464,-0.00987367256521324,0.00696420334671152,0.0228106796207129,0.0258696246371327,-1.68168198499078
"elev",59.04,-0.0255179388991458,-0.024077487853692,-0.0156433949474018,-0.0061756514045517,-0.00322121573556632,-1.61441470559115
"elev",123.08,-0.0261756720414875,-0.0250137180607838,-0.0168665894566402,-0.00847480519461534,-0.00659298199761176,-1.54714742619152
"elev",187.12,-0.0262466625070153,-0.0255351552132186,-0.0191248842391512,-0.0113756454884955,-0.0101808171447985,-1.47988014679189
"elev",251.16,-0.0224653808864571,-0.02185111570367,-0.0155711264473309,-0.00965605637016674,-0.00784561840972249,-1.41261286739226
"elev",315.2,-0.0221176989514728,-0.0212270270178298,-0.0151301791901372,-0.0086902181414623,-0.007671081459403,-1.34534558799263
"elev",379.24,-0.0226454653693948,-0.0212850344655026,-0.0156008581626409,-0.00929992592762199,-0.0080244195808005,-1.27807830859299
"elev",443.28,-0.0218873848872623,-0.0211115615533577,-0.014389918608386,-0.00819622733932518,-0.00749047033658585,-1.21081102919336
"elev",507.32,-0.0216509315672008,-0.0206461105742156,-0.0143015607376374,-0.00845315906395924,-0.00743381088665032,-1.14354374979373
"elev",571.36,-0.0217605612430452,-0.0207141528672772,-0.0144102747672029,-0.00852504956466645,-0.00751182720472859,-1.0762764703941
"elev",635.4,-0.0218932613508339,-0.0212377600860592,-0.0147623377933665,-0.0085685902548089,-0.00781248454078406,-1.00900919099447
"elev",699.44,-0.0240694183116793,-0.0226529477144309,-0.0152272684919164,-0.00915801760049529,-0.00883852594765419,-0.941741911594838
"elev",763.48,-0.0248127461529339,-0.0232112573657454,-0.0158369071864728,-0.00941557127015419,-0.00871384022830339,-0.874474632195206
"elev",827.52,-0.0255003055366248,-0.0241955743406537,-0.0149457809507942,-0.00817046291518037,-0.0068441653350361,-0.807207352795575
"elev",891.56,-0.029552949349917,-0.027537821422694,-0.0145396506990247,-0.0079640365139714,-0.00670565277605796,-0.739940073395944
"elev",955.6,-0.0378515584709698,-0.0351109209130996,-0.0213724596186416,-0.00859622624014893,-0.00815334940991899,-0.672672793996313
"elev",1019.64,-0.0378515584709698,-0.0352305848719592,-0.0215849986449234,-0.00920775870055141,-0.00856308363846404,-0.605405514596681
"elev",1083.68,-0.0396934615498491,-0.0376718288465154,-0.0265663666894629,-0.0138806503608685,-0.0128900657851479,-0.53813823519705
"elev",1147.72,-0.0402027088587586,-0.0383054106094023,-0.0276984501756344,-0.0185063358570412,-0.0172715257602395,-0.470870955797419
"elev",1211.76,-0.0402027088587586,-0.0383344042759874,-0.0278744256376843,-0.0192146787420951,-0.0181740337132101,-0.403603676397787
"elev",1275.8,-0.0403808223708592,-0.0385820706194029,-0.0287063186000226,-0.0195861691427143,-0.0183641560454849,-0.336336396998156
"elev",1339.84,-0.0405301454798458,-0.0388431875336281,-0.0291783027224339,-0.019678682603473,-0.0188508207172022,-0.269069117598525
"elev",1403.88,-0.0411214413776941,-0.0394512524573952,-0.0299594302953321,-0.0199631838052866,-0.019066888911085,-0.201801838198894
"elev",1467.92,-0.0412555206211562,-0.0395076529933164,-0.030190505672976,-0.0199639588919783,-0.0190841195185703,-0.134534558799263
"elev",1531.96,-0.0419165588092036,-0.0402145122085053,-0.0303630726657978,-0.0201006610816342,-0.0193744227169676,-0.0672672793996315
"elev",1596,-0.0419206838928071,-0.0402916035456331,-0.0302697282759937,-0.0201006610816342,-0.0193425934738636,0
"elev",1660.04,-0.0419206838928071,-0.0403073184508592,-0.0301154224783642,-0.0202081072868867,-0.0190660414336612,0.0672672793996312
"elev",1724.08,-0.0419189190684946,-0.0399704192640345,-0.0299764350772113,-0.0202081072868867,-0.0190660414336612,0.134534558799262
"elev",1788.12,-0.0419171395899568,-0.0400211717931751,-0.0299536418774346,-0.0202081072868867,-0.019064150818625,0.201801838198894
"elev",1852.16,-0.0419171395899568,-0.0400211717931751,-0.0297799445728109,-0.0199548373255027,-0.0188498934390879,0.269069117598525
"elev",1916.2,-0.0419102453170251,-0.0400404626238892,-0.0292451115762572,-0.0188898839397404,-0.0183742037974057,0.336336396998156
"elev",1980.24,-0.0419102453170251,-0.0400404626238892,-0.0292685611574776,-0.0188903956522967,-0.0183742037974057,0.403603676397787
"elev",2044.28,-0.0416746764149329,-0.0400404626238892,-0.0288727591051435,-0.0182708548787357,-0.0160894271073967,0.470870955797419
