"site_ID","LAT","LONG","ELEV","IGBP","MAP","Climate_class","NEE","NEE_day","NEE_night","MATA","SSTA","IATA","RDTA","RSTA","EVI","NDVI","Lai","Gpp","GSOC","soc_obs","GSOC_obs","soc_mix","nyear","r3avg","r3avg_p","dTS_gs","SWC_use","significant","Tmin1","Tmin2","Tmin3","Tmin4","Tmin5","Tmin6","Tmin7","Tmin8","Tmin9","Tmin10","Tmin11","Tmin12","TS_TA","TSmin_c","TSmin_c_gs","NEE_night_mod_p","NEE_night_mod_f","NEE_night_mod_fa"
"US-Uaf",64.8663,-147.8555,155,"ENF",263,"Dwc",-43.44210835,-203.1938797,159.7517714,-3.158701326,15.18247267,0.813147273,11.98598139,62.7388447,0.179164665,0.394520554,0.712008287,0.012433202,92,NA,NA,92,9,-0.035127135,0.510365237,2.382655932,"YES",FALSE,2.97142872810364,1.11318678855896,3.57765588760376,2.07347993850708,1.63875453472137,1.79531152248383,2.07875471115112,2.2603663444519,1.97010991573334,1.00820516347885,3.16937646865845,2.38688640594482,0,0,0,0,0,0
"CA-Ca3",49.5346,-124.9004,171,"ENF",1676,"Cfb",-401.9615861,-911.5711569,509.6095708,12.11220326,6.648384293,0.790508783,7.023772043,30.97738074,0.476286339,0.839664297,3.910329136,0.029752273,80.08332825,93.7779,134.0891517,134.0891517,13,-0.243719511,0.035192316,1.876895293,"NO",TRUE,1.15413920879364,2.22556777000427,1.97736265659332,2.09201459884644,1.97860813140869,1.93128225803375,1.90805876255035,2.17450561523437,1.90673990249634,1.85230770111084,2.1779486656189,1.86637361049652,0,0,0,0,0,0
"CA-Cbo",44.3167,-79.9333,120,"DBF",876.34,"Dfb",-317.773761,-829.9273287,512.1535677,7.399306436,9.96851082,0.711017084,9.215556747,44.43555736,0.306903643,0.518906739,2.195338242,0.027834881,67.82142639,NA,NA,67.82142639,13,-0.069839854,0.000533816,6.611581881,"YES",TRUE,3.94783878326416,3.618608045578,3.15824165344238,2.26725273132324,1.88600721359253,1.84974348545074,2.31919412612915,2.61692314147949,2.19142851829529,2.23648357391357,2.27999997138977,3.19575080871582,0,0,0,0,0,0
"US-Ha1",42.5378,-72.1715,340,"DBF",1071,"Dfb",-249.878731,-730.1211945,480.2424635,8.333618946,9.826442988,0.824807467,8.063295217,41.46642157,0.407885428,0.696744261,2.523674626,0.028831423,76,NA,NA,76,17,-0.133216892,0.067933564,1.534828653,"NO",TRUE,2.85882792472839,2.58336997032166,2.52893776893616,1.92051284313202,1.79120872020721,1.80989022254944,2.04139189720154,2.31369962692261,1.79721610546112,1.43992671966553,2.12739930152893,2.3806592464447,0,0,0,0,0,0
"US-Ha2",42.5393,-72.1779,360,"ENF",1071,"Dfb",-451.4456613,-789.6537293,338.208068,8.380819942,9.992757385,0.454056189,8.221450739,43.8658391,0.407885428,0.696744261,2.580073167,0.028904545,76,68.66666667,114.5196877,114.5196877,14,-0.035192583,0.450574642,3.050444229,"NO",FALSE,2.85882792472839,2.58336997032166,2.52893776893616,1.92051284313202,1.79120872020721,1.80989022254944,2.04139189720154,2.31369962692261,1.79721610546112,1.43992671966553,2.12739930152893,2.3806592464447,0,0,0,0,0,0
"US-Var",38.4133,-120.9508,129,"GRA",559,"Csa",-2.382595006,-272.8074046,270.4248096,16.06884679,6.689476718,0.635297252,14.50298739,29.11051106,0.275641348,0.479888525,1.064990867,0.02070247,42,NA,NA,42,19,-0.003581033,0.92476708,3.379578946,"YES",FALSE,1.11772894859314,1.56908414363861,0.887252700328827,0.606666827201843,0.828278338909149,0.856629860401154,1.25934128761292,1.60300419330597,1.6567033290863,1.89318675994873,1.30761916637421,0.798974406719208,0,0,0,0,0,0
"US-Ton",38.4309,-120.966,177,"WSA",559,"Csa",-87.78523895,-518.0675461,430.2823071,16.5034199,6.711133234,0.635855937,11.68929128,29.3785906,0.244297268,0.462846084,1.022669113,0.02113834,36,NA,NA,36,16,0.014446721,0.71680776,3.26129796,"YES",FALSE,1.11575093269348,1.60798528194427,0.906520128250122,0.598901009559631,0.87025636434555,0.87252744436264,1.26776578426361,1.61472582817078,1.69369962215424,1.86439566612244,1.31941397190094,0.797948741912842,0,0,0,0,0,0
"US-Los",46.0827,-89.9792,480,"WET",828,"Dfb",-97.09165032,-364.569071,267.4774207,5.136668083,11.57599535,0.866939282,11.27276168,48.93481929,0.289120765,0.503046447,1.670840976,0.027053656,250,86,128.0277475,128.0277475,14,-0.005963527,0.889861894,3.294899291,"NO",FALSE,2.40117206573486,4.54102535247803,3.03780212402344,2.0057142496109,2.15509171485901,1.79560418128967,2.26989006996155,2.84395594596863,2.02139201164246,2.44139189720154,1.70468862056732,2.88432230949402,0,0,0,0,0,0
"US-Wkg",31.7365,-109.9419,1531,"GRA",407,"Bsk",-34.94999402,-113.5659558,78.61596176,17.46696084,7.024189303,0.548858371,10.31235518,32.01963446,0.130761566,0.216930055,0.295155393,0.006747332,16,5.833333333,65.55297065,65.55297065,17,0.038144086,0.54352076,5.978422619,"YES",FALSE,0.413772851228714,0.705274748802185,0.0932600274682045,0.203003692626953,0.927545845508575,0.642343640327454,1.00293035507202,1.21677665710449,1.39296677112579,1.6970695734024,0.821684944629669,0.616336977481842,0,0,0,0,0,0
"US-SRM",31.8214,-110.8661,1120,"WSA",380,"Bsk",-2.048663385,-128.0577189,126.0090555,19.1929747,7.268810499,0.527757959,12.23006917,32.03907679,0.15647541,0.262902186,0.387477148,0.007868182,15,10.4783,69.17284495,69.17284495,17,-0.109916588,0.001184557,6.859987832,"YES",TRUE,0.647472536563873,0.923150157928467,0.264981752634048,0.449450677633286,1.08256416320801,0.926373827457428,1.24747233390808,1.54952359199524,1.7206591129303,1.99428594112396,1.02615391016006,0.827765536308289,0,0,0,0,0,0
"US-CMW",31.6637,-110.1777,1199,"DBF",288,"Bsh",-369.0413717,-671.4651119,302.4237402,17.00916756,7.454600939,0.417830572,18.14666131,31.87959804,0.165610018,0.310798907,0.530073127,0.009916304,12,NA,NA,12,17,-0.057165056,0.025062844,4.700818476,"YES",TRUE,0.49516481757164,0.692161178588867,0.137729059159756,0.269304025173187,0.967765772342682,0.735824239253998,0.979340577125549,1.3032968044281,1.53025584220886,1.75875475406647,0.89032963514328,0.6983149766922,0,0,0,0,0,0
"US-Ho1",45.2041,-68.7402,60,"ENF",1070,"Dfb",-301.4686432,-771.2518037,469.7831605,6.378704367,10.5055833,0.559052322,11.92953566,42.96732369,0.388709654,0.73863989,2.628793461,0.028099012,103,22.4,78.46355864,78.46355864,18,-0.134127451,0.359294787,0.434134839,"NO",FALSE,2.95956058502197,3.17970700263977,3.05040302276611,2.58205132484436,2.06798539161682,2.27662992477417,2.5275456905365,2.52329659461975,1.96813180446625,1.75853471755981,2.10131864547729,2.49626379013062,0,0,0,0,0,0
"US-Ho2",45.2091,-68.747,61,"ENF",1064,"Dfb",-310.7730113,-806.8876368,496.1146255,7.302299432,10.31562874,1.166349421,11.96921374,43.9211664,0.391009107,0.730902367,2.734186514,0.027711561,112,23.42857143,79.26513582,79.26513582,18,-0.08900439,0.200579682,1.040875638,"NO",FALSE,2.9701099395752,3.15304064750671,3.08029308319092,2.58776559829712,2.05963382720947,2.27509140968323,2.53706960678101,2.51684975624084,1.96842474937439,1.78468854427338,2.09750909805298,2.52285709381104,0,0,0,0,0,0
"US-GLE",41.3665,-106.2399,3197,"ENF",1200,"Dfc",-42.16740981,-303.7482654,261.5808555,0.332191423,9.374343379,0.758923001,6.965512273,40.31322387,0.193030601,0.393832605,0.447440588,0.009313538,34,NA,NA,34,13,-0.064922887,0.083742791,4.176650021,"NO",TRUE,1.88014633655548,3.30681304931641,2.38879141807556,2.4797803401947,2.73765568733215,2.71194133758545,2.37684984207153,3.09780216217041,2.69289374351501,3.36131868362427,2.49120855331421,2.58527460098267,0,0,0,0,0,0
