site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MAT,SST,IAT,DRT,EVI,NDVI,LAI,GPP,SOC,nyear,TRS,TRS_p,SWC_use,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
US-Ho2,45.2091,-68.747,61,ENF,Dfb,1064,-310.7730113,-806.8876368,496.1146255,7.302299432,10.31562874,1.166349421,11.96921374,0.391009107,0.730902367,2.734186514,1.265205969,79.26513582,18,-0.08900439,0.200579682,NO,2.97010994,3.153040648,3.080293083,2.587765598,2.059633827,2.27509141,2.537069607,2.516849756,1.968424749,1.784688544,2.097509098,2.522857094,0.704361575,1.734686036,1.578279074,4.898465308,5.624881434,4.887720812
US-GLE,41.3665,-106.2399,3197,ENF,Dfc,1200,-42.16740981,-303.7482654,261.5808555,0.332191423,9.374343379,0.758923001,6.965512273,0.193030601,0.393832605,0.447440588,0.425221199,34,13,-0.064922887,0.083742791,NO,1.880146337,3.306813049,2.388791418,2.47978034,2.737655687,2.711941338,2.376849842,3.097802162,2.692893744,3.361318684,2.491208553,2.585274601,1.014914238,2.715781586,2.783198757,2.761521377,3.598097563,3.003300807
US-Me2,44.4526,-121.5589,1253,ENF,Csb,523,-352.5980349,-794.3348432,441.7368083,7.987600512,7.889475541,0.60097062,7.803709045,0.303453005,0.599737887,1.735374796,1.189038531,61.18021908,10,-0.152337722,0.091740161,NO,1.333479881,1.965348005,1.663003731,1.312673974,0.944395566,1.314578772,1.747326088,2.191941452,1.916776538,1.654432201,2.138095284,1.686080623,0.96182792,1.592477015,1.570355136,3.474002175,3.976107005,3.130143584
US-NR1,40.0329,-105.5464,3050,ENF,Dfc,800,-196.5633546,-442.4785174,245.9151628,2.345043828,8.8085458,0.510132141,7.424043558,0.262152095,0.511645173,1.289853762,0.90748113,41,19,-0.122800969,0.00240179,YES,1.788498259,3.006153965,2.383882856,2.324175787,2.553846264,2.575824118,2.194651985,2.786739922,2.549157476,3.158681297,2.475018167,2.54197793,0.643321849,1.626457452,1.664288506,2.495327791,3.169052371,2.583270845
US-WCr,45.8059,-90.0799,520,DBF,Dfb,787,-264.6097699,-594.7452109,330.135441,5.290872409,11.56472237,0.944811536,8.538840913,0.324777007,0.510299999,2.007769682,1.173234792,139.6122077,14,-0.071915697,0.21686045,YES,2.357729387,4.256263638,2.995311546,2.000659347,1.989450574,1.649084091,2.19516468,2.738461781,2.069597149,2.387326002,1.804249048,2.916263866,0.646543454,1.581852669,1.420585079,4.05118288,4.39237725,3.965802494
US-UMB,45.5598,-84.7138,234,DBF,Dfb,803,-205.2807624,-642.3135711,437.0328087,7.161236439,10.61522024,1.072063384,7.403141505,0.325870384,0.505593966,2.09945159,1.698150834,81.89252768,11,-0.019674119,0.358170864,YES,3.666007519,3.806007338,3.227326059,2.2810256,1.726080656,1.686519885,2.195311546,2.426300192,2.09706974,2.399853373,2.008717942,3.481538534,0.715064196,1.847353952,1.509288924,5.330101879,6.03068085,5.854238829
US-MMS,39.3232,-86.4131,275,DBF,Cfa,1032,-357.6526654,-761.0851419,403.4324765,12.46218875,10.09743104,0.709031044,7.952342885,0.40109581,0.656686701,2.604296201,1.574815798,35,23,-0.06693713,0.024480761,YES,2.07956028,2.273040342,1.79956038,0.83282057,1.019853544,1.565494657,2.527618933,2.366886425,2.04468894,1.792380857,2.306446934,2.035970688,0.656597069,1.239016318,1.274156596,4.480912632,4.719175758,4.333371043
US-PFa,45.9459,-90.2723,470,MF,Dfb,823,7.975747813,-304.5182918,312.4940397,5.432131327,11.70020063,1.220741534,8.595218812,0.324410383,0.566614754,1.798080465,1.207535629,139.6122077,13,-0.018890604,0.587631274,NO,2.401172018,4.325201416,3.023955917,2.015091634,2.09098897,1.805494547,2.272454357,2.825567579,2.027839136,2.496410322,1.766666627,2.854871464,1.107590743,2.760274331,2.562983984,5.496593332,6.240215368,5.945284476
US-Syv,46.242,-89.3477,540,MF,Dfb,826,-150.4379914,-563.1934906,412.7554992,4.556907988,11.58489278,1.035114274,8.032082431,0.269279599,0.511117668,1.79716639,1.188754308,142.5774866,10,-0.104061905,0.086831725,YES,2.445495129,4.150329399,2.955311584,1.972454166,2.068205166,1.721465182,2.161025715,2.574432135,1.747912288,2.266813231,1.68783884,2.867179489,0.68614894,1.636377298,1.477176076,6.772866678,7.769950855,6.662841751
US-Whs,31.7438,-110.0522,1370,OSH,Bsk,320,15.04390492,-31.53611515,46.58002008,17.12019327,7.40634181,0.482012043,15.08684879,0.116662295,0.196230055,0.254113346,0.260624101,7,15,-0.137406379,0.108621157,YES,0.490842497,0.680659306,0.055384748,0.207252781,0.93450563,0.698461223,1.016483581,1.203003955,1.456410384,1.717948937,0.877142954,0.706446886,1.299008978,1.087329282,1.827983447,0.704006012,0.748364345,0.582141395
