"TRS_type","var","x","y025","y050","y","y950","y975","x_norm"
"TAS_direct","elev",-5,0.0151441868443159,0.0167276261050683,0.0321550134398489,0.0514552375600019,0.0547721624658129,-1.68168198499078
"TAS_direct","elev",59.04,0.0140819618258363,0.0146189621407867,0.0229914014070312,0.0327793334510373,0.0347569925158889,-1.61441470559115
"TAS_direct","elev",123.08,0.014944763579507,0.0162874723231994,0.0227215699457738,0.0294942027774639,0.0302201768929771,-1.54714742619152
"TAS_direct","elev",187.12,0.0131983762064628,0.0142407684674185,0.020197333743214,0.0263518858560158,0.0266358774759118,-1.47988014679189
"TAS_direct","elev",251.16,0.0128917552438816,0.0140478775962837,0.0196777919864567,0.0259340547103799,0.0266017713023922,-1.41261286739226
"TAS_direct","elev",315.2,0.0106883517301757,0.0124817890765698,0.0181079448762147,0.0232173870179934,0.0238825534551743,-1.34534558799263
"TAS_direct","elev",379.24,0.0101666922247182,0.0117580535738605,0.0169333857347177,0.0217609569287992,0.0227014319534514,-1.27807830859299
"TAS_direct","elev",443.28,0.0110430819605844,0.0117584383869675,0.0167265749052101,0.0219949262980315,0.0227629255078379,-1.21081102919336
"TAS_direct","elev",507.32,0.0110891297907261,0.0117627562003085,0.0167175965915784,0.0217998101916391,0.0224201894625067,-1.14354374979373
"TAS_direct","elev",571.36,0.0102176922800801,0.0113702466167713,0.0160199546219681,0.0213794878946072,0.0217068016233391,-1.0762764703941
"TAS_direct","elev",635.4,0.0077647484726125,0.00930416535796111,0.015245713596023,0.0213495672527225,0.0215780873344417,-1.00900919099447
"TAS_direct","elev",699.44,0.00761170409425236,0.0088226201400005,0.0149701203387358,0.0206900816306816,0.0213565268913511,-0.941741911594838
"TAS_direct","elev",763.48,0.0075601401337533,0.00868050430749349,0.014941153466557,0.0206683384271378,0.0213709506957108,-0.874474632195206
"TAS_direct","elev",827.52,0.00719544414586985,0.00802141791627621,0.0148791619323296,0.020890456525459,0.0214120845786584,-0.807207352795575
"TAS_direct","elev",891.56,0.00623707982199019,0.0073130960273464,0.0145034739938268,0.0202391604284157,0.0209259489563773,-0.739940073395944
"TAS_direct","elev",955.6,0.00391265503174669,0.00423563183114245,0.0105800806070165,0.0173158263903283,0.0181990651960666,-0.672672793996313
"TAS_direct","elev",1019.64,0.000453101010171401,0.00333882329396385,0.0101128145848345,0.0165919678515175,0.0174833078750766,-0.605405514596681
"TAS_direct","elev",1083.68,-0.00152920939579538,0.000338860301475078,0.00770850394787932,0.0138803798621322,0.0159660777215352,-0.53813823519705
"TAS_direct","elev",1147.72,-0.00254265920529376,-0.000908918029239535,0.00603695205469289,0.0132929569181728,0.015316329963605,-0.470870955797419
"TAS_direct","elev",1211.76,-0.0025757318324891,-0.000911846267135801,0.00597899517526488,0.0132411410211632,0.015061047918677,-0.403603676397787
"TAS_direct","elev",1275.8,-0.0026629750119959,-0.0010273828058807,0.00567719320810353,0.0129470669282537,0.0150455888369177,-0.336336396998156
"TAS_direct","elev",1339.84,-0.00271006099172873,-0.00109575126545554,0.00560406565400054,0.0129061870448516,0.0149750928245776,-0.269069117598525
"TAS_direct","elev",1403.88,-0.00271006099172873,-0.00111529520347384,0.00557331098072585,0.0129061870448516,0.0149750928245776,-0.201801838198894
"TAS_direct","elev",1467.92,-0.00295862953087849,-0.00126620035012033,0.00538536107003781,0.0128392059611266,0.0149750928245776,-0.134534558799263
"TAS_direct","elev",1531.96,-0.00327439071257738,-0.00266116547019816,0.00503830138284415,0.0126691804885359,0.0144819273080774,-0.0672672793996315
"TAS_direct","elev",1596,-0.00747295401916675,-0.00368083532078266,0.00379966221505932,0.0124646216556664,0.0134469896740482,0
"TAS_direct","elev",1660.04,-0.00992509396127646,-0.00579624988479926,0.00355756050997369,0.0124646216556664,0.0133839871071042,0.0672672793996312
"TAS_direct","elev",1724.08,-0.00992509396127646,-0.00579624988479926,0.00349187334945804,0.0124646216556664,0.0133839871071042,0.134534558799262
"TAS_direct","elev",1788.12,-0.00988974449826846,-0.00598884673979419,0.00347120398303865,0.0124646216556664,0.0133839871071042,0.201801838198894
"TAS_direct","elev",1852.16,-0.00988974449826846,-0.00599280031541188,0.00346065102946201,0.0124646216556664,0.013384752806762,0.269069117598525
"TAS_direct","elev",1916.2,-0.00988974449826846,-0.00599280031541188,0.00345412190036902,0.0124646216556664,0.013384752806762,0.336336396998156
"TAS_direct","elev",1980.24,-0.00988974449826846,-0.00599280031541188,0.00344703188769602,0.0124667093626412,0.013384752806762,0.403603676397787
"TAS_direct","elev",2044.28,-0.00988974449826846,-0.00599280031541188,0.0034454447279286,0.0124667093626412,0.013384752806762,0.470870955797419
"TAS_direct","elev",2108.32,-0.010066409805849,-0.00600185404143079,0.00340079629214573,0.012267975980542,0.0133842018453833,0.53813823519705
"TAS_direct","elev",2172.36,-0.010066409805849,-0.00600185404143079,0.00340079629214573,0.012267975980542,0.0133842018453833,0.605405514596681
"TAS_direct","elev",2236.4,-0.010066409805849,-0.00600185404143079,0.00342913960059245,0.012267975980542,0.0133842018453833,0.672672793996312
"TAS_direct","elev",2300.44,-0.010138734584111,-0.00560375284333587,0.00342913960059245,0.0122929825169133,0.0133965215488745,0.739940073395943
"TAS_direct","elev",2364.48,-0.010138734584111,-0.00560375284333587,0.00353637371766112,0.0124948726729163,0.0134268631674872,0.807207352795575
"TAS_direct","elev",2428.52,-0.010138734584111,-0.00560375284333587,0.00378280193201696,0.0130188270033568,0.0134268631674872,0.874474632195206
