site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MAT,SST,IAT,DRT,EVI,NDVI,LAI,GPP,SOC,nyear,TRS,TRS_p,SWC_use
US-SRG,31.7894,-110.8277,1291,GRA,Bsk,420,-41.93787059,-229.9079057,187.9700351,18.9440829,7.147606884,0.522614019,11.76401733,0.170891803,0.282312022,0.430438758,0.410712256,25,16,-0.073002361,0.160685595,YES
US-IB2,41.8406,-88.241,226.5,GRA,Dfa,930.25,-215.1902247,-646.9615609,431.7713362,9.223713815,10.87413983,0.854793119,10.08162265,0.316391682,0.492161368,1.241499099,1.108806244,98.88151067,12,-0.042105639,0.013173963,NO
US-Kon,39.0824,-96.5603,417,GRA,Cfa,867,-163.0045133,-678.2595531,515.2550399,13.14715999,10.79727627,1.048358726,11.96305799,0.295653832,0.469030839,1.138025609,0.907693169,55,11,-0.070916122,0.017773209,NO
US-MOz,38.7441,-92.2,219.4,DBF,Cfa,986,-364.6826506,-784.6655951,419.9829445,13.53309483,10.43983222,1.073030186,9.664558529,0.37915337,0.653207285,2.527330935,1.512128684,45,14,-0.032528061,0.554951599,YES
US-NC2,35.803,-76.6685,5,ENF,Cfa,1320,-531.9003252,-1343.799462,811.8991368,15.99332423,8.014473303,0.459475052,10.13608993,0.410731876,0.736830782,4.284643559,1.74012571,134,11,-0.085010549,0.47140866,NO
US-Bar,44.0646,-71.2881,272,DBF,Dfb,1245.77,-215.1216784,-609.3136051,394.1919267,7.411330361,10.17443587,0.595564093,9.882681381,0.392827687,0.650909652,2.282541168,1.281952609,69.83918195,12,-0.226509783,0.003673387,YES
CA-Oas,53.6289,-106.1978,530,DBF,Dfc,428.53,-129.5741244,-467.1110554,337.536931,1.91686947,12.81411863,0.936864253,8.176467625,0.262314469,0.453749083,1.680347375,0.919973438,87.87283153,14,-0.018529912,0.589929317,YES
CA-TP4,42.7102,-80.3574,184,ENF,Dfb,1036,-167.4882297,-725.6012988,558.1130692,9.30552856,10.23628024,0.798726291,7.571919737,0.366053467,0.650123722,2.512979926,1.421344028,89.60770803,14,-0.027580299,0.39651934,YES
CA-TP3,42.7068,-80.3483,184,ENF,Dfb,1036,-503.708318,-964.2781577,460.5698396,9.055563984,10.23685783,0.876344188,7.812248344,0.340102007,0.610566058,2.23446073,1.450330333,89.37391468,10,-0.02308294,0.416257604,YES
CA-Man,55.8796,-98.4808,259,ENF,Dfc,520,0.58618865,-229.6753193,230.2615079,-1.181531772,14.64952035,1.40322214,9.824147741,0.189097814,0.445356831,0.992595988,0.702415992,187.351898,12,-0.055790268,0.488063075,NO
CA-LP1,55.1119,-122.8414,751,ENF,Dfb,570,-175.8770067,-300.7352603,124.8582535,2.886093156,10.3319541,0.61019,9.123298658,0.19590457,0.421291408,0.812797082,0.703043089,70.65000153,10,-0.018045016,0.905830187,YES
CA-Ca1,49.8673,-125.3336,300,ENF,Cfb,1369,-373.7580182,-1083.818877,710.0608591,8.065497168,6.161820245,0.450077744,5.357694171,0.364140255,0.74399927,2.501828196,1.3166279,119.4553249,12,-0.019808286,0.638487585,YES
CA-Gro,48.2167,-82.1556,340,MF,Dfb,831,-118.1875763,-447.8413266,329.6537504,3.747624006,12.3953469,0.981259806,9.202684815,0.295093625,0.557405282,1.848811726,1.030441712,79.39664123,8,0.065791457,0.659548955,YES
CA-Obs,53.9872,-105.1178,628.94,ENF,Dfc,405.6,-54.98450569,-316.5949258,261.6104201,1.211340753,12.99609806,1.106668749,8.733588777,0.209253102,0.479189416,1.175868382,0.791648697,119.9366052,11,-0.093125181,0.044201854,YES
CA-Ojp,53.9163,-104.692,579,ENF,Dfc,430.5,-38.11573117,-234.6029708,196.4872397,1.443179156,13.13012679,0.984442341,9.265129909,0.221184153,0.488610747,1.134186483,0.752606287,67.77522834,11,-0.026605268,0.465321783,YES
US-Jo2,32.5849,-106.6032,1469,OSH,Bwk,282.3,-174.9616979,-245.9539192,70.99222131,17.64086811,8.187068443,0.457703509,12.32449965,0.112643534,0.170639891,0.214181153,0.211922598,9,10,-0.006434519,0.917774248,YES
US-MtB,32.416,-110.7256,2573,ENF,Csb,790,-495.3536272,-738.7744569,243.4208297,9.890111772,6.731203351,0.420454566,5.563098661,0.286684153,0.53827377,1.443510073,0.699776772,5,9,-0.344881733,0.080010611,NO
US-LL1,31.2792,-84.5329,165,SAV,Cfa,1310,-203.9650578,-874.3477007,670.3826429,19.41596748,6.815460414,0.63693578,10.01652579,0.371546266,0.697580328,1.874862913,1.550562043,20,12,-0.039362096,0.07610438,YES
US-BZB,64.6955,-148.3208,100,WET,Dfd,274,14.09593446,-150.513523,164.6094574,-1.552445775,15.06864268,1.542979811,12.98144579,0.210736947,0.438115487,0.612551445,0.584887241,78,9,-0.051100561,0.339120947,NO
US-BZF,64.7013,-148.3121,95,WET,Dfd,274,11.25606263,-190.7741644,202.030227,-1.128288118,14.96944303,1.588988487,12.02349113,0.224255579,0.452690773,0.891778017,0.675360604,91,8,-0.038577649,0.580836834,NO
US-KL2,42.4768,-85.4468,258.3,GRA,Dfa,1027,-263.1196683,-650.348139,387.2284707,9.320215088,10.52969109,0.880711625,10.20397413,0.273933523,0.477414962,1.086014637,1.116277267,29,13,-0.046879361,0.044190964,YES
US-Ro4,44.6781,-93.0723,274,GRA,Dfa,879,-281.7066242,-556.4454711,274.7388469,7.471009355,12.1251548,1.056804783,11.44813229,0.284919057,0.449071513,1.084826337,0.986806608,87,10,-0.050009222,0.393546492,NO
US-KM4,42.4423,-85.3301,246.3,GRA,Dfa,1027,-6.013849094,-527.2991009,521.2852518,9.198884433,10.44266836,0.969532712,10.70435516,0.303425461,0.483937085,1.207404036,1.129306441,370,12,-0.048108184,0.292149941,YES
US-MBP,47.5051,-93.4893,416,WET,Dfb,780,-221.4190361,-284.4550232,63.03598711,4.106576485,12.6311142,1.243680234,11.44332292,0.286788686,0.499722445,1.732175536,1.120459415,29,12,-0.043566591,0.562340869,NO
US-Myb,38.0499,-121.765,-4,WET,Csa,338,-412.3568795,-813.0054664,400.648587,15.6288017,5.37172437,0.460911935,10.47096704,0.346545173,0.571359199,1.531901298,1.609581318,29,10,0.040045279,0.78921228,NO
US-NC4,35.7879,-75.9038,1,WET,Cfa,1311,38.72256305,-772.8963711,811.6189342,17.03805014,7.827075402,0.64665654,7.710634506,0.358008743,0.713713113,2.489853787,1.910429839,250,10,-0.125323558,0.387874082,NO
